Elapsed time(s),ECG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
150.065,-0.077,18.689,7.516,64,14.7,34.3
150.129,-0.094,18.696,7.518,64,14.7,34.2
150.194,-0.103,18.704,7.52,64,14.7,34.19
150.258,-0.106,18.708,7.522,64,14.7,34.12
150.323,-0.108,18.712,7.522,64,14.7,34.08
150.387,-0.103,18.715,7.525,64,14.7,34.05
150.452,-0.067,18.719,7.525,64,14.7,34.05
150.516,-0.053,18.722,7.525,64,14.7,34.03
150.581,-0.081,18.725,7.525,64,14.7,34.06
150.645,0.127,18.726,7.527,64,14.7,34.04
150.71,-0.065,18.729,7.528,64,14.7,33.93
150.774,-0.024,18.731,7.53,64,14.7,33.91
150.839,0.072,18.732,7.531,57,14.7,33.94
150.903,0.142,18.734,7.532,57,14.7,33.92
150.968,-0.015,18.736,7.532,57,14.7,33.95
151.032,-0.063,18.736,7.533,57,14.7,33.97
151.097,-0.048,18.736,7.535,57,14.7,33.91
151.161,-0.06,18.737,7.532,57,14.7,33.73
151.226,-0.065,18.74,7.532,57,14.7,33.68
151.29,-0.061,18.745,7.532,57,14.7,33.72
151.355,-0.05,18.749,7.532,57,14.7,33.74
151.419,-0.046,18.752,7.535,57,14.7,33.73
151.484,-0.027,18.756,7.536,57,14.7,33.81
151.548,0.035,18.76,7.538,57,14.7,34.07
151.613,-0.046,18.765,7.54,57,14.7,34.37
151.677,0.212,18.77,7.54,57,14.7,34.5
151.742,-0.004,18.775,7.542,57,14.7,34.65
151.806,0.023,18.779,7.542,78,14.7,34.9
151.871,0.104,18.782,7.542,78,14.7,34.93
151.935,0.227,18.785,7.542,78,14.7,34.97
152,0.122,18.79,7.542,78,14.7,35.13
152.065,0,18.792,7.545,78,14.7,35.19
152.129,0.006,18.797,7.547,78,14.7,35.19
152.194,-0.012,18.8,7.548,78,14.7,35.16
152.258,-0.035,18.802,7.547,78,14.7,35.16
152.323,-0.054,18.806,7.547,78,14.7,35.14
152.387,-0.05,18.808,7.547,78,14.7,35.13
152.452,-0.03,18.809,7.548,78,14.7,35.21
152.516,0.031,18.811,7.551,78,14.7,35.36
152.581,0.109,18.813,7.552,78,14.7,35.62
152.645,0.109,18.813,7.552,78,14.7,35.95
152.71,0.335,18.816,7.556,78,14.7,36.33
152.774,0.122,18.818,7.558,78,14.7,36.85
152.839,0.155,18.818,7.561,78,14.7,37.19
152.903,0.267,18.818,7.563,78,14.7,37.48
152.968,0.363,18.818,7.567,78,14.7,37.71
153.032,0.218,18.817,7.568,78,14.7,38
153.097,0.185,18.816,7.571,78,14.7,38.36
153.161,0.194,18.814,7.573,78,14.7,38.71
153.226,0.185,18.809,7.575,78,14.7,38.87
153.29,0.186,18.804,7.575,78,14.7,38.96
153.355,0.195,18.797,7.573,78,14.7,39.11
153.419,0.227,18.792,7.575,78,14.7,39.12
153.484,0.255,18.787,7.572,78,14.7,39.11
153.548,0.226,18.782,7.572,78,14.7,39.12
153.613,0.448,18.777,7.572,78,14.7,39.07
153.677,0.249,18.774,7.572,78,14.7,39.02
153.742,0.297,18.775,7.572,78,14.7,38.95
153.806,0.39,18.792,7.572,78,14.7,38.93
153.871,0.457,18.82,7.572,78,14.7,38.97
153.935,0.287,18.842,7.578,78,14.7,39.02
154,0.257,18.853,7.583,78,14.7,39.02
154.065,0.256,18.865,7.587,78,14.7,39.11
154.129,0.239,18.878,7.587,78,14.7,39.09
154.194,0.225,18.884,7.586,78,14.7,39.04
154.258,0.223,18.892,7.585,78,14.7,39.02
154.323,0.227,18.896,7.582,78,14.7,38.98
154.387,0.284,18.902,7.582,78,14.7,39.03
154.452,0.19,18.907,7.582,78,14.7,39.02
154.516,0.442,18.914,7.58,78,14.7,38.95
154.581,0.206,18.916,7.58,78,14.7,38.96
154.645,0.229,18.925,7.585,78,14.7,38.94
154.71,0.296,18.938,7.579,78,14.7,38.86
154.774,0.407,18.969,7.567,78,14.7,38.65
154.839,0.307,19.012,7.548,78,14.69,38.54
154.903,0.219,19.043,7.538,78,14.69,38.45
154.968,0.181,19.064,7.536,78,14.69,38.38
155.032,0.141,19.073,7.533,78,14.69,38.48
155.097,0.16,19.068,7.531,78,14.69,39.39
155.161,0.102,19.068,7.526,78,14.7,40.88
155.226,0.117,19.113,7.526,78,14.69,41.64
155.29,0.129,19.143,7.525,78,14.69,40.63
155.355,0.023,19.161,7.529,78,14.69,38.05
155.419,0.224,19.172,7.537,78,14.69,34.74
155.484,-0.024,19.144,7.536,78,14.69,32.19
155.548,0.001,19.085,7.528,78,14.69,30.71
155.613,0.118,19.032,7.527,78,14.69,30.47
155.677,0.242,18.986,7.531,78,14.69,31.09
155.742,0.117,18.96,7.535,78,14.69,32.12
155.806,0.056,18.977,7.537,78,14.69,33.37
155.871,0.135,19.062,7.541,78,14.69,34.59
155.935,0.291,19.156,7.54,78,14.69,33.44
156,0.345,19.179,7.538,78,14.69,32.67
156.065,0.331,19.19,7.535,78,14.69,33.77
156.129,0.277,19.197,7.531,78,14.69,34.95
156.194,0.459,19.202,7.531,78,14.69,36.14
156.258,0.241,19.216,7.532,78,14.68,37.67
156.323,0.365,19.252,7.529,78,14.68,39.08
156.387,0.529,19.253,7.525,78,14.68,39.74
156.452,0.584,19.22,7.532,78,14.68,39.7
156.516,0.364,19.177,7.537,78,14.68,39.83
156.581,0.271,19.124,7.536,78,14.68,41.96
156.645,0.28,19.067,7.523,78,14.68,44.39
156.71,0.273,19.059,7.511,78,14.68,45.71
156.774,0.175,19.098,7.501,78,14.68,45.55
156.839,0.167,19.17,7.495,78,14.68,44.04
156.903,0.26,19.151,7.491,78,14.68,41.23
156.968,0.106,19.143,7.489,78,14.68,37.9
157.032,0.15,19.134,7.485,78,14.68,36.17
157.097,0.25,19.11,7.484,78,14.68,36.04
157.161,0.271,19.093,7.481,78,14.68,36.73
157.226,0.121,19.079,7.479,78,14.69,38.75
157.29,0.095,19.07,7.476,78,14.68,40.47
157.355,0.075,19.061,7.475,78,14.69,39.45
157.419,0.113,19.053,7.474,78,14.68,37.48
157.484,0.034,19.046,7.471,78,14.68,36.95
157.548,0.15,19.039,7.469,78,14.68,37.3
157.613,0.085,19.038,7.466,78,14.68,37.3
157.677,0.019,19.056,7.464,78,14.69,36.75
157.742,0.067,19.094,7.461,78,14.69,36.51
157.806,0.171,19.135,7.459,42,14.68,36.75
157.871,0.158,19.161,7.454,42,14.68,36.88
157.935,-0.007,19.162,7.451,42,14.68,36.88
158,-0.026,19.154,7.448,42,14.68,37.06
158.065,-0.064,19.153,7.445,42,14.68,37.36
158.129,-0.065,19.158,7.444,42,14.68,37.65
158.194,0.007,19.171,7.443,42,14.68,37.81
158.258,-0.084,19.18,7.447,42,14.68,37.78
158.323,0.156,19.181,7.417,42,14.68,37.48
158.387,-0.07,19.19,7.418,42,14.68,37.13
158.452,-0.047,19.217,7.424,42,14.68,36.82
158.516,0.047,19.256,7.433,42,14.68,36.73
158.581,0.143,19.3,7.433,42,14.68,36.58
158.645,-0.008,19.351,7.428,42,14.68,36.33
158.71,-0.076,19.413,7.434,42,14.68,35.81
158.774,-0.078,19.481,7.444,42,14.68,35.41
158.839,-0.092,19.544,7.457,42,14.68,35.13
158.903,-0.097,19.61,7.474,42,14.68,34.76
158.968,-0.041,19.691,7.507,42,14.68,34.72
159.032,-0.144,19.794,7.551,42,14.68,34.43
159.097,0.064,19.891,7.572,42,14.68,34.05
159.161,-0.138,19.954,7.582,42,14.68,33.11
159.226,-0.132,20.057,7.589,42,14.68,32.22
159.29,-0.078,20.186,7.601,42,14.68,32.23
159.355,0.018,20.285,7.613,42,14.68,33.03
159.419,-0.027,20.419,7.62,42,14.68,33.66
159.484,-0.178,20.498,7.629,42,14.68,33.99
159.548,-0.188,20.576,7.636,42,14.68,33.76
159.613,-0.218,20.638,7.659,42,14.68,33.58
159.677,-0.165,20.727,7.684,42,14.68,33.78
159.742,-0.244,20.769,7.695,42,14.68,34.36
159.806,-0.208,20.791,7.701,42,14.68,34.88
159.871,-0.203,20.806,7.709,42,14.68,34.82
159.935,-0.181,20.791,7.713,42,14.68,34.69
160,-0.099,20.752,7.705,42,14.68,35.18
160.065,-0.006,20.692,7.702,42,14.68,36
160.129,-0.01,20.627,7.701,42,14.68,36.06
160.194,-0.15,20.571,7.706,42,14.68,35.55
160.258,-0.146,20.525,7.717,42,14.68,35.57
160.323,-0.2,20.536,7.728,42,14.68,35.43
160.387,-0.24,20.497,7.737,42,14.68,34.88
160.452,-0.202,20.476,7.76,42,14.68,34.51
160.516,-0.3,20.506,7.774,42,14.68,34.49
160.581,-0.06,20.542,7.802,42,14.68,34.93
160.645,-0.323,20.635,7.818,42,14.68,35.12
160.71,-0.311,20.777,7.847,42,14.68,35.27
160.774,-0.279,20.875,7.874,41,14.66,35.29
160.839,-0.138,20.898,7.864,41,14.66,35.67
160.903,-0.226,20.888,7.876,41,14.66,36.1
160.968,-0.269,20.869,7.891,41,14.66,36.15
161.032,-0.235,20.846,7.885,41,14.66,35.47
161.097,-0.227,20.82,7.884,41,14.66,35.12
161.161,-0.123,20.808,7.88,41,14.68,34.9
161.226,-0.202,20.784,7.875,41,14.68,34.38
161.29,0.048,20.742,7.877,41,14.68,34.48
161.355,-0.148,20.703,7.889,41,14.68,34.68
161.419,-0.099,20.623,7.931,41,14.68,34.97
161.484,-0.008,20.548,7.996,41,14.68,34.9
161.548,0.06,20.751,8.049,41,14.68,35.18
161.613,-0.059,20.91,8.075,41,14.68,35.44
161.677,-0.115,21.023,8.081,41,14.68,35.66
161.742,-0.125,21.151,8.087,41,14.66,36.2
161.806,-0.114,21.241,8.079,41,14.66,36.68
161.871,-0.101,21.284,8.079,41,14.66,37.28
161.935,-0.173,21.307,8.085,41,14.66,37.81
162,0.066,21.319,8.094,41,14.66,37.85
162.065,-0.064,21.337,8.09,41,14.66,38.41
162.129,-0.017,21.355,8.078,41,14.66,38.47
162.194,0.082,21.299,8.032,41,14.66,38.91
162.258,0.139,21.246,7.991,41,14.66,37.61
162.323,-0.043,21.195,7.972,41,14.66,35.68
162.387,-0.103,21.044,7.966,41,14.66,35.21
162.452,-0.114,21.011,7.969,41,14.66,35.62
162.516,-0.123,20.99,7.973,41,14.66,35.47
162.581,-0.06,20.962,7.982,41,14.66,35.21
162.645,-0.165,20.947,8.011,41,14.66,35.08
162.71,0.071,20.98,8.017,41,14.66,35.02
162.774,-0.158,20.997,8.023,41,14.66,34.85
162.839,-0.117,20.957,8.023,41,14.68,34.82
162.903,-0.049,21.033,8.024,41,14.68,35.35
162.968,0.051,21.024,8.039,41,14.66,35.95
163.032,-0.066,21.055,8.058,41,14.66,35.87
163.097,-0.147,21.025,8.061,41,14.66,36.11
163.161,-0.139,20.969,8.061,41,14.66,36.44
163.226,-0.145,20.904,8.059,41,14.66,36.56
163.29,-0.109,20.852,8.054,41,14.66,36.38
163.355,-0.199,20.807,8.048,41,14.66,36.59
163.419,0.1,20.801,8.038,41,14.66,36.51
163.484,-0.115,20.967,8.024,41,14.66,36.47
163.548,-0.029,21.065,8.018,41,14.66,36.91
163.613,0.064,21.06,8.009,85,14.66,38.15
163.677,0.129,21.032,8.007,85,14.66,40.16
163.742,0.008,20.995,8.003,85,14.66,41.43
163.806,-0.004,20.947,7.998,85,14.66,41.91
163.871,0.049,20.937,7.993,85,14.66,42.01
163.935,0.013,20.909,7.991,85,14.66,42.2
164,0.103,20.887,7.982,85,14.66,41.84
164.065,0.116,20.89,7.976,85,14.66,41.28
164.129,0.034,20.898,7.971,85,14.66,40.75
164.194,0.158,20.894,7.966,85,14.66,40.11
164.258,0.124,20.888,7.961,85,14.66,39.52
164.323,-0.016,20.873,7.955,85,14.66,39.39
164.387,-0.001,20.846,7.947,96,14.66,39.41
164.452,0.002,20.664,7.94,96,14.66,39.5
164.516,0.076,20.51,7.935,96,14.66,39.23
164.581,0.297,20.306,7.927,96,14.66,39.32
164.645,0.194,20.106,7.915,96,14.66,39.47
164.71,0.329,19.997,7.904,96,14.66,39.84
164.774,0.324,19.935,7.895,96,14.66,40.01
164.839,0.238,19.881,7.887,96,14.66,40.34
164.903,0.261,19.846,7.883,96,14.66,40.79
164.968,0.222,19.828,7.879,96,14.66,41.07
165.032,0.221,19.823,7.878,96,14.66,39.9
165.097,0.29,19.825,7.874,96,14.66,39.76
165.161,0.401,19.839,7.881,96,14.66,39.48
165.226,0.37,19.855,7.914,96,14.66,39.38
165.29,0.224,19.859,7.949,96,14.66,39.29
165.355,0.222,19.855,7.972,96,14.66,39.83
165.419,0.216,19.833,7.986,96,14.66,39.43
165.484,0.275,19.811,7.998,96,14.66,38.91
165.548,0.183,19.802,8.012,96,14.66,38.86
165.613,0.415,19.801,8.018,96,14.66,39.05
165.677,0.166,19.801,8.02,96,14.66,39.12
165.742,0.196,19.799,8.018,96,14.66,39.13
165.806,0.275,19.796,8.013,96,14.66,39.4
165.871,0.38,19.8,8.002,96,14.66,39.85
165.935,0.262,19.804,7.993,96,14.66,40.26
166,0.174,19.806,7.991,96,14.66,40.4
166.065,0.149,19.8,7.991,96,14.66,40.6
166.129,0.162,19.785,7.995,96,14.66,40.8
166.194,0.157,19.796,7.992,96,14.66,40.88
166.258,0.087,19.9,7.991,96,14.66,40.99
166.323,0.296,19.949,7.99,96,14.66,41.1
166.387,0.109,19.996,7.987,96,14.66,41.17
166.452,0.211,20.019,7.987,96,14.66,41.38
166.516,0.248,20.039,7.985,96,14.66,41.45
166.581,0.294,20.066,7.985,96,14.66,40.85
166.645,0.139,20.069,7.986,96,14.66,41.02
166.71,0.113,20.067,7.987,96,14.66,41.25
166.774,0.117,20.054,7.986,96,14.66,40.91
166.839,0.132,20.033,7.983,96,14.66,40.93
166.903,0.119,19.99,7.982,96,14.66,40.85
166.968,0.061,19.945,7.978,96,14.66,40.65
167.032,0.223,19.912,7.978,96,14.66,40.35
167.097,0.001,19.872,7.98,96,14.66,40.16
167.161,0.033,19.833,7.982,96,14.66,39.62
167.226,0.119,19.791,7.986,96,14.65,38.96
167.29,0.135,19.747,7.994,96,14.66,38.73
167.355,-0.051,19.708,8.004,96,14.66,38.12
167.419,-0.085,19.664,8.014,96,14.66,37.83
167.484,-0.112,19.627,8.023,96,14.66,38.27
167.548,-0.126,19.596,8.028,96,14.66,37.77
167.613,-0.097,19.566,8.042,96,14.66,37.37
167.677,-0.203,19.54,8.027,96,14.66,37.26
167.742,0.054,19.519,8.022,96,14.66,37.47
167.806,-0.197,19.5,8.055,96,14.66,37.86
167.871,-0.172,19.48,8.088,96,14.66,38.37
167.935,-0.101,19.456,8.092,96,14.66,38.86
168,-0.036,19.432,8.078,96,14.65,39.24
168.065,-0.184,19.41,8.056,96,14.66,39.69
168.129,-0.23,19.388,8.056,96,14.66,40.21
168.194,-0.236,19.366,8.064,96,14.66,40.56
168.258,-0.184,19.341,8.078,96,14.65,40.72
168.323,-0.237,19.319,8.088,96,14.65,40.86
168.387,-0.116,19.294,8.093,96,14.65,41.09
168.452,-0.098,19.271,8.094,96,14.65,41.33
168.516,-0.213,19.248,8.09,96,14.66,41.36
168.581,-0.144,19.226,8.088,96,14.66,41.16
168.645,-0.043,19.202,8.078,87,14.65,40.87
168.71,-0.064,19.18,8.054,87,14.66,40.62
168.774,-0.196,19.155,8.048,87,14.65,40.48
168.839,-0.194,19.134,8.041,87,14.65,40.25
168.903,-0.206,19.112,8.033,87,14.65,39.85
168.968,-0.141,19.09,8.026,87,14.65,39.4
169.032,-0.218,19.068,8.022,87,14.65,39.09
169.097,-0.066,19.045,8.025,87,14.65,38.88
169.161,-0.171,19.023,8.022,87,14.65,38.6
169.226,-0.211,18.996,8.014,87,14.65,38.18
169.29,-0.156,18.969,8.003,87,14.65,37.73
169.355,-0.05,18.944,7.997,85,14.65,37.38
169.419,-0.09,18.923,7.989,85,14.65,37.14
169.484,-0.223,18.901,7.983,85,14.65,36.93
169.548,-0.23,18.881,7.976,85,14.65,36.55
169.613,-0.251,18.857,7.969,85,14.65,36.34
169.677,-0.201,18.833,7.962,85,14.65,36.05
169.742,-0.247,18.809,7.956,85,14.65,35.97
169.806,-0.195,18.787,7.951,85,14.65,35.97
169.871,-0.13,18.764,7.945,85,14.65,35.97
169.935,-0.259,18.742,7.939,85,14.65,35.94
170,-0.198,18.72,7.934,85,14.65,35.93
170.065,-0.09,18.695,7.929,83,14.65,35.93
170.129,-0.095,18.674,7.924,83,14.65,35.9
170.194,-0.248,18.653,7.919,83,14.65,35.85
170.258,-0.254,18.634,7.915,83,14.65,35.84
170.323,-0.268,18.615,7.912,83,14.65,35.84
170.387,-0.273,18.591,7.92,83,14.65,35.67
170.452,-0.186,18.565,7.923,83,14.65,35.64
170.516,-0.3,18.546,7.923,83,14.65,35.66
170.581,-0.04,18.531,7.919,83,14.65,35.74
170.645,-0.267,18.516,7.916,83,14.65,35.79
170.71,-0.284,18.499,7.914,83,14.65,35.96
170.774,-0.21,18.481,7.913,83,14.65,36.3
170.839,-0.107,18.467,7.909,80,14.65,36.28
170.903,-0.217,18.459,7.906,80,14.65,36.58
170.968,-0.311,18.451,7.904,80,14.65,37.1
171.032,-0.316,18.444,7.903,80,14.65,37.47
171.097,-0.331,18.437,7.9,80,14.65,37.67
171.161,-0.253,18.429,7.9,80,14.65,37.86
171.226,-0.359,18.42,7.899,80,14.65,37.83
171.29,-0.111,18.414,7.898,80,14.65,38.03
171.355,-0.323,18.407,7.898,80,14.65,38.31
171.419,-0.283,18.399,7.898,80,14.65,38.19
171.484,-0.203,18.39,7.895,80,14.65,37.99
171.548,-0.101,18.383,7.895,84,14.65,38.03
171.613,-0.189,18.375,7.896,84,14.65,38.03
171.677,-0.266,18.368,7.895,84,14.65,38.08
171.742,-0.268,18.361,7.896,84,14.65,38.29
171.806,-0.26,18.353,7.898,84,14.65,38.29
171.871,-0.222,18.345,7.896,84,14.65,38.14
171.935,-0.316,18.337,7.896,84,14.65,38.04
172,-0.055,18.328,7.898,84,14.65,38.03
172.065,-0.271,18.321,7.898,84,14.65,38.09
172.129,-0.222,18.313,7.896,84,14.65,38.18
172.194,-0.127,18.305,7.898,86,14.65,38.28
172.258,-0.061,18.296,7.898,86,14.65,38.33
172.323,-0.211,18.288,7.898,86,14.65,38.31
172.387,-0.238,18.278,7.898,86,14.65,38.26
172.452,-0.229,18.27,7.898,86,14.65,38.2
172.516,-0.166,18.263,7.896,86,14.65,37.98
172.581,-0.275,18.254,7.896,86,14.65,37.86
172.645,-0.018,18.244,7.895,86,14.65,37.8
172.71,-0.234,18.234,7.895,86,14.65,37.68
172.774,-0.192,18.224,7.894,86,14.65,37.58
172.839,-0.092,18.215,7.893,86,14.65,37.49
172.903,0,18.208,7.893,91,14.65,37.31
172.968,-0.128,18.2,7.891,91,14.65,37.1
173.032,-0.172,18.191,7.89,91,14.65,36.87
173.097,-0.176,18.179,7.888,91,14.65,36.69
173.161,-0.098,18.168,7.886,91,14.65,36.43
173.226,-0.215,18.157,7.885,91,14.65,36.33
173.29,0.021,18.148,7.883,91,14.65,36.27
173.355,-0.188,18.138,7.881,91,14.65,36.1
173.419,-0.155,18.123,7.879,91,14.65,36.07
173.484,-0.069,18.111,7.876,91,14.65,36.1
173.548,0.025,18.098,7.875,90,14.65,36.09
173.613,-0.082,18.089,7.875,90,14.65,36.02
173.677,-0.157,18.08,7.875,90,14.65,35.89
173.742,-0.161,18.069,7.873,90,14.65,35.85
173.806,-0.131,18.055,7.871,90,14.65,35.7
173.871,-0.167,18.045,7.87,90,14.65,35.52
173.935,-0.118,18.036,7.868,90,14.65,35.61
174,-0.075,18.026,7.866,90,14.65,35.98
174.065,-0.202,18.014,7.862,90,14.65,36.49
174.129,-0.142,18.008,7.854,90,14.65,36.62
174.194,-0.045,17.997,7.876,90,14.65,36.97
174.258,-0.064,17.987,7.884,90,14.65,37.48
174.323,-0.177,17.978,7.891,90,14.65,38.19
174.387,-0.178,17.965,7.893,90,14.65,38.89
174.452,-0.163,17.955,7.893,90,14.65,39.18
174.516,-0.136,17.945,7.893,90,14.65,39.42
174.581,-0.207,17.933,7.891,90,14.65,40.15
174.645,0.071,17.923,7.889,90,14.65,40.67
174.71,-0.168,17.913,7.888,90,14.65,41.19
174.774,-0.111,17.901,7.884,90,14.65,41.55
174.839,-0.012,17.89,7.883,90,14.65,41.79
174.903,0.032,17.878,7.88,90,14.65,42.01
174.968,-0.075,17.868,7.878,90,14.64,42.15
175.032,-0.079,17.856,7.875,90,14.65,42.15
175.097,-0.081,17.845,7.873,90,14.65,41.92
175.161,-0.026,17.832,7.869,90,14.64,41.53
175.226,-0.049,17.821,7.866,90,14.64,41.22
175.29,-0.014,17.811,7.864,90,14.64,41.02
175.355,0.112,17.801,7.859,90,14.65,40.82
175.419,-0.043,17.79,7.858,90,14.64,40.56
175.484,0.017,17.778,7.854,90,14.65,40.22
175.548,0.121,17.766,7.852,90,14.64,39.97
175.613,0.116,17.758,7.851,90,14.64,39.81
175.677,-0.004,17.746,7.848,90,14.64,39.63
175.742,-0.001,17.737,7.846,90,14.64,39.46
175.806,-0.01,17.727,7.844,90,14.64,39.17
175.871,-0.024,17.717,7.841,90,14.64,38.89
175.935,-0.031,17.707,7.839,90,14.64,38.73
176,0.037,17.697,7.834,90,14.64,38.58
176.065,-0.011,17.687,7.832,90,14.64,38.47
176.129,0.095,17.677,7.828,90,14.64,38.33
176.194,0.07,17.667,7.826,90,14.64,38.16
176.258,-0.007,17.657,7.822,90,14.64,38
176.323,0.049,17.649,7.819,90,14.64,37.84
176.387,0.156,17.641,7.817,90,14.64,37.65
176.452,0.135,17.634,7.812,90,14.64,37.53
176.516,-0.004,17.626,7.809,90,14.64,37.37
176.581,-0.006,17.62,7.807,90,14.64,37.22
176.645,-0.023,17.614,7.804,90,14.64,36.95
176.71,-0.044,17.609,7.802,90,14.64,36.63
176.774,-0.05,17.604,7.799,90,14.64,36.49
176.839,-0.055,17.599,7.797,90,14.64,36.39
176.903,-0.059,17.594,7.794,90,14.64,36.35
176.968,-0.031,17.589,7.792,90,14.64,36.29
177.032,-0.003,17.584,7.791,90,14.64,36.25
177.097,-0.067,17.579,7.787,90,14.64,36.23
177.161,0.159,17.576,7.786,90,14.64,36.24
177.226,-0.043,17.571,7.783,90,14.64,36.24
177.29,-0.004,17.567,7.781,90,14.64,36.24
177.355,0.092,17.56,7.777,90,14.64,36.24
177.419,0.156,17.553,7.775,90,14.64,36.26
177.484,-0.013,17.547,7.77,90,14.64,36.28
177.548,-0.055,17.542,7.769,90,14.64,36.27
177.613,-0.08,17.539,7.767,90,14.64,36.29
177.677,-0.092,17.534,7.765,90,14.64,36.15
177.742,-0.091,17.529,7.764,90,14.64,36.1
177.806,-0.092,17.524,7.76,90,14.64,36.11
177.871,-0.095,17.519,7.759,90,14.64,36.18
177.935,-0.042,17.514,7.756,90,14.64,36.19
178,-0.067,17.509,7.752,90,14.64,36.19
178.065,-0.023,17.504,7.75,90,14.64,36.19
178.129,0.053,17.499,7.749,90,14.64,36.2
178.194,-0.073,17.492,7.746,90,14.64,36.22
178.258,-0.018,17.487,7.744,90,14.64,36.24
178.323,0.1,17.48,7.741,90,14.64,36.25
178.387,0.121,17.475,7.739,90,14.64,36.27
178.452,-0.064,17.47,7.735,90,14.64,36.3
178.516,-0.073,17.465,7.732,90,14.64,36.31
178.581,-0.078,17.458,7.73,90,14.64,36.3
178.645,-0.096,17.452,7.727,90,14.64,36.15
178.71,-0.102,17.447,7.725,90,14.64,36.12
178.774,-0.108,17.441,7.722,90,14.64,36.13
178.839,-0.113,17.435,7.72,90,14.64,36.16
178.903,-0.121,17.43,7.719,90,14.64,36.2
178.968,-0.051,17.423,7.715,90,14.64,36.21
179.032,-0.135,17.417,7.712,90,14.64,36.26
179.097,0.092,17.41,7.711,90,14.64,36.35
179.161,-0.125,17.403,7.707,90,14.64,36.52
179.226,-0.109,17.397,7.705,90,14.64,36.71
179.29,-0.049,17.39,7.704,90,14.64,36.97
179.355,0.064,17.385,7.7,80,14.64,37.26
179.419,-0.01,17.38,7.697,80,14.64,37.58
179.484,-0.152,17.373,7.695,80,14.64,37.89
179.548,-0.148,17.365,7.692,80,14.64,38.23
179.613,-0.164,17.359,7.69,80,14.64,38.44
179.677,-0.174,17.353,7.687,80,14.64,38.6
179.742,-0.18,17.345,7.685,80,14.64,38.9
179.806,-0.184,17.339,7.683,80,14.64,39.17
179.871,-0.16,17.331,7.68,80,14.64,39.46
179.935,-0.122,17.324,7.677,80,14.64,39.67
180,-0.172,17.318,7.674,80,14.64,39.84
180.065,0.097,17.31,7.672,80,14.64,40.06
180.129,-0.135,17.304,7.67,80,14.64,40.27
180.194,-0.087,17.297,7.667,80,14.64,40.42
180.258,0.011,17.288,7.664,64,14.64,40.51
180.323,0.081,17.282,7.662,64,14.64,40.54
180.387,-0.075,17.276,7.66,64,14.64,40.52
180.452,-0.098,17.268,7.657,64,14.64,40.37
180.516,-0.094,17.261,7.654,64,14.64,40.18
180.581,-0.102,17.253,7.652,64,14.64,39.93
180.645,-0.104,17.246,7.649,64,14.64,39.68
180.71,-0.097,17.239,7.647,64,14.64,39.55
180.774,-0.089,17.233,7.644,64,14.64,39.41
180.839,-0.011,17.226,7.642,64,14.64,39.28
180.903,-0.07,17.218,7.639,64,14.64,39.08
180.968,0.149,17.212,7.637,64,14.64,38.88
181.032,-0.037,17.205,7.634,64,14.64,38.72
181.097,-0.029,17.199,7.632,64,14.64,38.59
181.161,0.035,17.191,7.629,64,14.64,38.48
181.226,0.16,17.184,7.627,64,14.64,38.4
181.29,0.114,17.176,7.624,64,14.64,38.33
181.355,-0.036,17.17,7.622,64,14.64,38.22
181.419,-0.025,17.162,7.619,64,14.64,38.1
181.484,-0.025,17.156,7.617,64,14.64,37.84
181.548,-0.038,17.149,7.614,64,14.64,37.58
181.613,-0.044,17.142,7.612,64,14.64,37.39
181.677,-0.042,17.135,7.609,63,14.64,37.25
181.742,-0.041,17.129,7.607,63,14.64,37.16
181.806,0.004,17.122,7.604,63,14.64,37.07
181.871,0.009,17.115,7.603,63,14.63,36.95
181.935,0.012,17.109,7.6,63,14.64,36.84
182,0.157,17.098,7.596,63,14.64,36.76
182.065,-0.001,17.092,7.595,63,14.63,36.68
182.129,0.085,17.088,7.593,63,14.63,36.62
182.194,0.235,17.08,7.591,63,14.63,36.57
182.258,0.212,17.074,7.588,63,14.63,36.54
182.323,0.011,17.069,7.586,63,14.63,36.5
182.387,-0.012,17.062,7.583,63,14.63,36.46
182.452,-0.01,17.055,7.581,63,14.63,36.38
182.516,-0.028,17.049,7.578,63,14.63,36.07
182.581,-0.037,17.042,7.576,60,14.63,36.07
182.645,-0.043,17.036,7.573,60,14.63,36.04
182.71,-0.044,17.03,7.571,60,14.63,36.04
182.774,-0.044,17.023,7.568,60,14.63,36.08
182.839,0.029,17.017,7.566,60,14.63,36.06
182.903,-0.04,17.011,7.565,60,14.63,36.05
182.968,0.174,17.005,7.562,60,14.63,36.05
183.032,-0.02,16.997,7.56,60,14.63,36.05
183.097,-0.007,16.992,7.557,60,14.63,36.05
183.161,0.058,16.985,7.555,60,14.63,36.07
183.226,0.194,16.978,7.552,60,14.63,36.08
183.29,0.151,16.972,7.55,60,14.63,36.08
183.355,-0.023,16.967,7.548,60,14.63,36.08
183.419,-0.024,16.96,7.546,59,14.63,36.1
183.484,-0.03,16.955,7.543,59,14.63,36.06
183.548,-0.046,16.948,7.542,59,14.63,35.91
183.613,-0.053,16.943,7.54,59,14.63,35.92
183.677,-0.056,16.937,7.537,59,14.63,35.92
183.742,-0.056,16.931,7.535,59,14.63,35.96
183.806,-0.026,16.925,7.532,59,14.63,35.99
183.871,0.006,16.92,7.53,59,14.63,36.01
