Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),marker(mV),RESP(mV)
712.774,0.028,0.943,7.292,17.017,10.55,47.32
712.839,0.258,0.904,7.311,17.12,10.55,47.24
712.903,0.274,0.951,7.332,17.221,10.55,47.17
712.968,-0.058,0.86,7.358,17.316,10.55,47.12
713.032,-0.071,0.818,7.388,17.396,10.55,47.07
713.097,-0.061,0.875,7.419,17.468,10.55,47
713.161,-0.066,0.901,7.454,17.523,10.55,46.91
713.226,-0.038,0.899,7.49,17.564,10.55,46.84
713.29,-0.043,0.886,7.532,17.594,10.55,46.78
713.355,-0.103,0.938,7.576,17.611,10.55,46.73
713.419,0.195,0.948,7.62,17.618,10.55,46.67
713.484,-0.023,1.018,7.666,17.616,10.55,46.63
713.548,0.086,0.997,7.713,17.604,10.55,46.59
713.613,0.366,0.935,7.761,17.581,10.55,46.57
713.677,0.076,0.886,7.808,17.554,10.55,46.55
713.742,-0.09,0.914,7.854,17.516,10.55,46.54
713.806,-0.084,0.935,7.899,17.475,10.55,46.52
713.871,-0.081,0.868,7.944,17.427,10.55,46.47
713.935,-0.092,0.909,7.987,17.381,10.55,46.44
714,-0.076,0.847,8.029,17.335,10.55,46.4
714.065,-0.051,0.88,8.069,17.287,10.55,46.41
714.129,-0.137,0.87,8.105,17.237,10.55,46.39
714.194,0.168,0.924,8.14,17.187,10.55,46.41
714.258,-0.053,0.914,8.172,17.138,10.55,46.4
714.323,0.032,0.912,8.206,17.09,10.55,46.39
714.387,0.296,0.917,8.235,17.045,10.55,46.38
714.452,0.138,0.951,8.265,17.001,10.55,46.4
714.516,-0.104,0.992,8.294,16.958,10.55,46.42
714.581,-0.099,0.974,8.321,16.917,10.55,46.42
714.645,-0.092,0.901,8.344,16.877,10.55,46.38
714.71,-0.103,0.873,8.361,16.837,10.55,46.35
714.774,-0.112,0.88,8.379,16.798,10.55,46.32
714.839,-0.056,0.875,8.392,16.765,10.55,46.31
714.903,-0.1,0.953,8.404,16.734,10.55,46.33
714.968,0.007,0.886,8.414,16.701,10.55,46.35
715.032,0.036,0.87,8.423,16.668,10.55,46.36
715.097,-0.04,0.873,8.432,16.639,10.55,46.36
715.161,0.096,0.922,8.438,16.612,10.55,46.34
715.226,0.348,0.945,8.44,16.585,10.55,46.34
715.29,-0.009,0.875,8.442,16.558,10.55,46.35
715.355,-0.11,0.883,8.442,16.532,10.55,46.36
715.419,-0.1,0.883,8.441,16.51,10.55,46.37
715.484,-0.098,0.932,8.438,16.489,10.55,46.36
715.548,-0.107,1.005,8.433,16.469,10.55,46.31
715.613,-0.11,0.989,8.428,16.452,10.55,46.31
715.677,-0.043,0.948,8.421,16.432,10.55,46.32
715.742,-0.112,0.927,8.412,16.413,10.55,46.32
715.806,0.161,0.93,8.402,16.395,10.55,46.34
715.871,-0.105,0.914,8.39,16.378,10.55,46.33
715.935,-0.022,0.909,8.379,16.363,10.55,46.35
716,0.14,0.831,8.364,16.348,10.55,46.35
716.065,0.342,0.906,8.351,16.333,10.55,46.37
716.129,-0.038,0.906,8.334,16.319,10.55,46.36
716.194,-0.094,0.896,8.318,16.304,10.55,46.36
716.258,-0.081,0.909,8.301,16.29,10.55,46.37
716.323,-0.08,0.893,8.284,16.279,10.55,46.36
716.387,-0.091,0.94,8.267,16.265,10.55,46.31
716.452,-0.087,0.979,8.249,16.255,10.55,46.31
716.516,-0.02,1.007,8.232,16.243,10.55,46.32
716.581,-0.106,0.963,8.216,16.235,10.55,46.32
716.645,0.191,0.927,8.197,16.223,10.55,46.33
716.71,-0.089,0.951,8.181,16.213,10.55,46.34
716.774,0.005,0.935,8.165,16.203,10.55,46.36
716.839,0.197,0.917,8.147,16.193,10.55,46.4
716.903,0.318,0.956,8.132,16.184,10.55,46.47
716.968,-0.054,0.901,8.118,16.175,10.55,46.57
717.032,-0.092,0.886,8.102,16.165,10.55,46.68
717.097,-0.078,0.862,8.086,16.157,10.55,46.8
717.161,-0.086,0.891,8.073,16.151,10.55,46.91
717.226,-0.094,0.927,8.058,16.142,10.55,47.02
717.29,-0.038,0.927,8.043,16.133,10.55,47.18
717.355,-0.104,0.969,8.029,16.125,10.55,47.35
717.419,0.162,1.005,8.017,16.12,10.55,47.51
717.484,-0.098,1.007,8.003,16.111,10.55,47.68
717.548,-0.014,0.969,7.989,16.102,10.55,47.84
717.613,0.14,0.951,7.977,16.096,10.55,48
717.677,0.342,0.904,7.966,16.086,10.55,48.2
717.742,-0.038,0.927,7.954,16.08,10.55,48.4
717.806,-0.093,0.927,7.942,16.073,10.55,48.58
717.871,-0.09,0.932,7.932,16.064,10.55,48.75
717.935,-0.095,0.888,7.92,16.056,10.55,48.89
718,-0.053,0.868,7.91,16.05,10.55,49.04
718.065,-0.102,0.912,7.9,16.044,10.55,49.21
718.129,0.014,0.847,7.88,16.034,10.55,49.64
718.194,0.025,0.904,7.879,16.033,10.55,49.66
718.258,-0.03,0.904,7.87,16.025,10.55,49.85
718.323,0.109,0.901,7.863,16.021,10.55,50.03
718.387,0.351,0.938,7.854,16.015,10.55,50.2
718.452,-0.014,1.01,7.845,16.009,10.55,50.41
718.516,-0.11,1.005,7.837,16.001,10.55,50.59
718.581,-0.097,0.963,7.828,15.995,10.55,50.73
718.645,-0.097,0.888,7.82,15.989,10.55,50.8
718.71,-0.046,0.917,7.813,15.984,10.55,50.85
718.774,-0.138,0.958,7.805,15.981,10.55,50.93
718.839,0.18,0.976,7.798,15.975,10.55,51.02
718.903,-0.125,0.906,7.79,15.971,10.55,51.11
718.968,-0.009,0.865,7.784,15.963,10.55,51.18
719.032,0.192,0.891,7.778,15.961,10.55,51.26
719.097,0.277,0.906,7.772,15.953,10.55,51.35
719.161,-0.093,0.909,7.765,15.948,10.54,51.44
719.226,-0.118,0.948,7.76,15.943,10.54,51.55
719.29,-0.107,0.875,7.755,15.938,10.54,51.58
719.355,-0.077,0.899,7.747,15.932,10.54,51.59
719.419,-0.092,0.984,7.742,15.928,10.54,51.6
719.484,-0.147,0.995,7.736,15.923,10.54,51.6
719.548,0.166,1.031,7.73,15.918,10.54,51.57
719.613,-0.053,0.943,7.725,15.913,10.54,51.49
719.677,0.061,0.932,7.72,15.908,10.54,51.44
719.742,0.347,0.982,7.715,15.906,10.54,51.34
719.806,0.049,0.922,7.71,15.902,10.54,51.18
719.871,-0.11,0.868,7.705,15.898,10.54,51.01
719.935,-0.103,0.945,7.7,15.896,10.54,50.86
720,-0.095,0.855,7.695,15.896,10.54,50.62
720.065,-0.073,0.873,7.692,15.896,10.54,50.35
720.129,-0.073,0.875,7.687,15.902,10.54,50.13
720.194,-0.146,0.932,7.684,15.913,10.54,49.91
720.258,0.192,0.94,7.675,15.957,10.54,49.52
720.323,-0.053,0.906,7.674,15.959,10.54,49.49
720.387,0.054,0.924,7.67,15.995,10.54,49.28
720.452,0.342,1.062,7.668,16.043,10.54,49.03
720.516,0.088,1.007,7.663,16.102,10.54,48.8
720.581,-0.1,0.935,7.66,16.173,10.54,48.6
720.645,-0.097,0.974,7.655,16.257,10.54,48.42
720.71,-0.084,0.886,7.653,16.346,10.54,48.2
720.774,-0.092,0.94,7.648,16.438,10.54,48
720.839,-0.03,0.932,7.647,16.535,10.54,47.86
720.903,-0.106,0.865,7.644,16.628,10.54,47.74
720.968,0.203,0.868,7.644,16.715,10.54,47.63
721.032,-0.087,0.899,7.647,16.795,10.54,47.52
721.097,-0.005,0.932,7.648,16.869,10.54,47.46
721.161,0.171,0.883,7.65,16.938,10.54,47.37
721.226,0.359,0.948,7.656,16.997,10.54,47.27
721.29,-0.037,0.896,7.665,17.047,10.54,47.2
721.355,-0.088,0.989,7.674,17.087,10.54,47.14
721.419,-0.079,0.966,7.686,17.119,10.54,47.05
721.484,-0.08,0.989,7.7,17.145,10.54,46.93
721.548,-0.089,0.963,7.715,17.163,10.54,46.87
721.613,-0.026,0.974,7.732,17.174,10.54,46.81
721.677,-0.107,0.899,7.751,17.176,10.54,46.75
721.742,0.197,0.945,7.771,17.171,10.54,46.7
721.806,-0.102,0.948,7.791,17.162,10.54,46.68
721.871,-0.012,0.938,7.813,17.146,10.54,46.62
721.935,0.169,0.855,7.834,17.129,10.54,46.6
722,0.347,0.777,7.856,17.106,10.54,46.58
722.065,-0.047,0.922,7.878,17.079,10.54,46.58
722.129,-0.096,0.878,7.899,17.053,10.54,46.57
722.194,-0.085,0.938,7.92,17.027,10.54,46.54
722.258,-0.087,0.963,7.94,17.002,10.54,46.53
722.323,-0.097,0.888,7.957,16.98,10.54,46.49
722.387,-0.062,0.982,7.976,16.962,10.54,46.48
722.452,-0.064,1.018,7.991,16.951,10.54,46.48
722.516,-0.124,1.059,8.007,16.947,10.54,46.46
722.581,0.185,0.984,8.021,16.948,10.54,46.43
722.645,-0.041,0.909,8.033,16.956,10.54,46.42
722.71,0.067,0.912,8.044,16.97,10.54,46.42
722.774,0.351,0.886,8.054,16.989,10.54,46.42
722.839,0.086,0.917,8.064,17.009,10.54,46.44
722.903,-0.092,0.888,8.071,17.029,10.54,46.46
722.968,-0.089,0.875,8.078,17.046,10.54,46.47
723.032,-0.083,0.93,8.084,17.063,10.54,46.45
723.097,-0.093,0.912,8.088,17.078,10.54,46.42
723.161,-0.096,0.87,8.093,17.09,10.54,46.41
723.226,-0.039,0.912,8.098,17.102,10.54,46.42
723.29,-0.087,0.875,8.102,17.112,10.54,46.42
723.355,0.034,0.956,8.104,17.117,10.54,46.43
723.419,0.048,0.992,8.108,17.121,10.54,46.45
723.484,-0.019,1.08,8.11,17.119,10.54,46.44
723.548,0.116,0.963,8.114,17.117,10.54,46.42
723.613,0.375,0.893,8.117,17.108,10.54,46.49
723.677,0.014,0.93,8.119,17.098,10.54,46.5
723.742,-0.089,0.93,8.122,17.084,10.54,46.51
723.806,-0.082,0.948,8.124,17.068,10.54,46.53
723.871,-0.082,0.958,8.127,17.048,10.54,46.56
723.935,-0.089,0.896,8.127,17.026,10.54,46.53
724,-0.09,0.883,8.129,17.001,10.54,46.5
724.065,-0.023,0.899,8.129,16.976,10.54,46.52
724.129,-0.106,0.865,8.125,16.925,10.54,46.55
724.194,0.194,1.005,8.127,16.923,10.54,46.55
724.258,-0.098,0.94,8.124,16.897,10.54,46.54
724.323,0,0.932,8.12,16.869,10.54,46.57
724.387,0.188,0.956,8.118,16.843,10.54,46.62
724.452,0.327,0.974,8.113,16.816,10.54,46.66
724.516,-0.054,0.982,8.108,16.789,10.52,46.72
724.581,-0.093,0.995,8.103,16.766,10.54,46.73
724.645,-0.084,0.943,8.096,16.741,10.52,46.77
724.71,-0.089,0.909,8.09,16.719,10.52,46.73
724.774,-0.097,0.922,8.083,16.695,10.54,46.68
724.839,-0.081,0.919,8.076,16.674,10.52,46.69
724.903,-0.05,0.909,8.069,16.653,10.54,46.77
724.968,-0.138,0.829,8.06,16.633,10.54,46.79
725.032,0.17,0.865,8.051,16.613,10.52,46.79
725.097,-0.051,0.862,8.044,16.594,10.52,46.77
725.161,0.041,0.938,8.036,16.576,10.54,46.82
725.226,0.311,0.927,8.028,16.559,10.54,46.86
725.29,0.141,0.883,8.019,16.541,10.54,46.86
725.355,-0.096,0.943,8.012,16.525,10.54,46.88
725.419,-0.095,0.982,8.002,16.51,10.54,46.92
725.484,-0.086,1.005,7.994,16.495,10.52,46.93
725.548,-0.096,1,7.987,16.481,10.52,46.94
725.613,-0.086,0.945,7.978,16.466,10.54,46.87
725.677,-0.045,1.013,7.969,16.455,10.52,46.8
725.742,-0.134,0.935,7.962,16.441,10.54,46.78
725.806,0.148,0.906,7.954,16.429,10.52,46.75
725.871,-0.058,0.948,7.946,16.416,10.52,46.74
725.935,0.015,0.893,7.937,16.404,10.52,46.64
726,0.264,0.834,7.931,16.394,10.54,46.52
726.065,0.177,0.899,7.922,16.382,10.52,46.57
726.129,-0.108,0.88,7.915,16.372,10.52,46.62
726.194,-0.117,0.927,7.907,16.362,10.52,46.6
726.258,-0.108,0.935,7.9,16.352,10.52,46.59
726.323,-0.115,0.883,7.891,16.343,10.52,46.65
726.387,-0.096,1.018,7.885,16.334,10.54,46.7
726.452,-0.074,1.01,7.877,16.329,10.54,46.76
726.516,-0.151,0.974,7.869,16.324,10.52,46.87
726.581,0.148,0.953,7.862,16.319,10.54,46.9
726.645,-0.063,0.899,7.855,16.316,10.52,46.94
726.71,0.034,0.94,7.849,16.315,10.52,46.95
726.774,0.309,0.873,7.842,16.316,10.54,46.88
726.839,0.09,0.982,7.835,16.318,10.54,46.8
726.903,-0.115,0.932,7.829,16.321,10.54,46.88
726.968,-0.109,0.868,7.822,16.323,10.54,46.88
727.032,-0.103,0.893,7.817,16.328,10.54,46.84
727.097,-0.113,0.868,7.809,16.331,10.54,46.83
727.161,-0.063,0.912,7.804,16.335,10.54,46.84
727.226,-0.106,0.961,7.799,16.338,10.54,46.82
727.29,0.061,0.868,7.794,16.341,10.54,46.83
727.355,-0.043,0.901,7.789,16.343,10.54,46.81
727.419,-0.039,0.969,7.786,16.343,10.54,46.8
727.484,0.105,1.007,7.782,16.343,10.54,46.8
727.548,0.34,0.989,7.779,16.342,10.54,46.81
727.613,-0.022,0.94,7.776,16.34,10.54,46.87
727.677,-0.106,0.995,7.775,16.336,10.54,46.86
727.742,-0.096,0.932,7.774,16.331,10.54,46.85
727.806,-0.097,0.917,7.771,16.326,10.54,46.8
727.871,-0.093,0.899,7.771,16.321,10.54,46.76
727.935,-0.041,0.868,7.771,16.315,10.54,46.76
728,-0.136,0.842,7.769,16.309,10.54,46.73
728.065,0.134,0.878,7.769,16.301,10.54,46.71
728.129,-0.056,0.901,7.769,16.294,10.54,46.73
728.194,0.017,0.969,7.769,16.287,10.54,46.77
728.258,0.254,0.912,7.769,16.279,10.54,46.76
728.323,0.213,0.87,7.769,16.271,10.54,46.72
728.387,-0.083,0.948,7.769,16.264,10.54,46.78
728.452,-0.09,0.961,7.769,16.256,10.54,46.81
728.516,-0.078,0.995,7.769,16.249,10.54,46.79
728.581,-0.088,0.953,7.769,16.243,10.54,46.73
728.645,-0.037,0.945,7.767,16.239,10.54,46.66
728.71,-0.079,0.914,7.766,16.234,10.54,46.64
728.774,0.032,0.883,7.765,16.229,10.54,46.62
728.839,0.023,0.995,7.764,16.226,10.54,46.64
728.903,-0.023,0.896,7.762,16.223,10.54,46.7
728.968,0.114,0.855,7.761,16.221,10.54,46.75
729.032,0.356,0.912,7.759,16.219,10.54,46.74
729.097,0.006,0.93,7.759,16.219,10.54,46.72
729.161,-0.087,0.94,7.756,16.218,10.54,46.77
729.226,-0.073,0.969,7.754,16.216,10.54,46.8
729.29,-0.079,0.87,7.752,16.216,10.54,46.79
729.355,-0.055,0.922,7.75,16.211,10.54,46.73
729.419,-0.047,0.951,7.749,16.211,10.54,46.71
729.484,-0.128,1.033,7.746,16.207,10.54,46.72
729.548,0.165,0.976,7.744,16.204,10.54,46.74
729.613,-0.038,0.94,7.741,16.199,10.54,46.75
729.677,0.064,0.93,7.739,16.194,10.54,46.8
729.742,0.336,0.924,7.736,16.189,10.54,46.85
729.806,0.094,0.938,7.734,16.183,10.54,46.88
729.871,-0.09,0.948,7.731,16.177,10.54,46.87
729.935,-0.084,0.886,7.729,16.172,10.54,46.84
730,-0.08,0.852,7.725,16.163,10.54,46.81
730.065,-0.059,0.909,7.722,16.157,10.54,46.82
730.129,-0.067,0.927,7.72,16.151,10.54,46.9
730.194,-0.131,0.94,7.717,16.145,10.54,46.9
730.258,0.149,0.938,7.715,16.138,10.54,46.83
730.323,-0.045,0.935,7.711,16.132,10.54,46.77
730.387,0.036,0.924,7.706,16.12,10.54,46.82
730.452,0.286,0.997,7.705,16.119,10.54,46.82
730.516,0.159,0.963,7.702,16.115,10.54,46.9
730.581,-0.093,0.966,7.7,16.11,10.54,46.96
730.645,-0.095,0.899,7.696,16.105,10.54,46.95
730.71,-0.093,0.945,7.692,16.1,10.54,46.9
730.774,-0.084,0.938,7.69,16.097,10.54,46.84
730.839,-0.058,0.891,7.686,16.094,10.54,46.86
730.903,-0.146,0.906,7.683,16.09,10.54,46.99
730.968,0.127,0.855,7.68,16.085,10.54,47.16
731.032,-0.063,0.924,7.677,16.081,10.54,47.24
731.097,0.018,0.927,7.673,16.076,10.54,47.33
731.161,0.274,0.951,7.67,16.072,10.54,47.4
731.226,0.14,1.002,7.668,16.068,10.54,47.51
731.29,-0.111,0.888,7.664,16.063,10.54,47.7
731.355,-0.115,0.976,7.662,16.058,10.54,47.91
731.419,-0.11,0.963,7.658,16.053,10.54,48.07
731.484,-0.057,1.052,7.655,16.048,10.54,48.19
731.548,-0.145,0.969,7.652,16.043,10.54,48.32
731.613,0.145,0.93,7.649,16.038,10.54,48.44
731.677,-0.159,0.945,7.645,16.033,10.54,48.6
731.742,-0.04,0.901,7.643,16.028,10.54,48.75
731.806,0.128,0.906,7.64,16.023,10.54,48.94
731.871,0.285,0.951,7.637,16.018,10.54,49.15
731.935,-0.092,0.873,7.634,16.01,10.54,49.31
732,-0.135,0.883,7.632,16.005,10.54,49.44
732.065,-0.126,0.938,7.629,16,10.54,49.56
732.129,-0.079,0.85,7.627,15.995,10.54,49.64
732.194,-0.141,0.995,7.624,15.99,10.54,49.75
732.258,-0.004,0.886,7.622,15.987,10.54,49.93
732.323,-0.038,0.935,7.62,15.983,10.54,50.09
732.387,-0.068,0.935,7.618,15.98,10.54,50.22
732.452,0.074,0.966,7.615,15.977,10.54,50.37
732.516,0.303,0.966,7.613,15.977,10.54,50.51
732.581,-0.071,0.969,7.61,15.98,10.54,50.64
732.645,-0.151,0.938,7.609,15.984,10.54,50.82
732.71,-0.138,0.966,7.607,15.993,10.54,51
732.774,-0.085,0.922,7.605,16.008,10.54,51.1
732.839,-0.146,0.951,7.603,16.033,10.54,51.18
732.903,-0.016,0.914,7.602,16.062,10.54,51.32
732.968,-0.019,0.844,7.599,16.102,10.54,51.42
733.032,-0.07,0.896,7.597,16.147,10.54,51.49
733.097,0.081,0.86,7.595,16.197,10.54,51.57
733.161,0.312,0.924,7.593,16.253,10.54,51.66
733.226,-0.065,0.951,7.592,16.31,10.54,51.69
733.29,-0.142,0.896,7.59,16.371,10.54,51.63
733.355,-0.127,0.93,7.588,16.431,10.54,51.54
733.419,-0.09,0.974,7.587,16.49,10.54,51.37
733.484,-0.088,1.028,7.587,16.549,10.54,51.19
733.548,-0.159,0.992,7.587,16.601,10.54,51.04
733.613,0.172,0.904,7.588,16.649,10.54,50.92
733.677,-0.056,0.969,7.59,16.694,10.54,50.77
733.742,0.055,0.904,7.592,16.731,10.54,50.61
733.806,0.342,0.969,7.596,16.767,10.54,50.45
733.871,0.072,0.917,7.6,16.794,10.54,50.28
733.935,-0.102,0.821,7.605,16.821,10.54,50.13
734,-0.097,0.943,7.61,16.845,10.54,49.98
734.065,-0.082,0.896,7.618,16.864,10.54,49.78
734.129,-0.035,0.878,7.624,16.883,10.54,49.54
734.194,-0.083,0.912,7.631,16.895,10.54,49.32
734.258,-0.008,0.909,7.64,16.906,10.54,49.15
734.323,0.103,0.914,7.649,16.913,10.54,49.01
734.387,-0.021,0.974,7.656,16.917,10.54,48.88
734.452,0.115,1.036,7.665,16.913,10.54,48.75
734.516,0.377,1.01,7.674,16.908,10.54,48.61
734.581,0.003,0.982,7.681,16.899,10.54,48.5
734.645,-0.091,0.94,7.69,16.888,10.54,48.43
734.71,-0.084,0.914,7.698,16.874,10.54,48.33
734.774,-0.075,0.924,7.706,16.86,10.54,48.18
734.839,-0.08,0.945,7.712,16.849,10.54,48.06
734.903,-0.015,0.893,7.721,16.842,10.54,47.95
734.968,-0.105,0.855,7.727,16.846,10.54,47.86
735.032,0.223,0.904,7.735,16.867,10.54,47.77
735.097,-0.09,0.862,7.74,16.906,10.54,47.68
735.161,0.009,0.922,7.747,16.97,10.54,47.6
735.226,0.21,0.966,7.752,17.057,10.54,47.51
735.29,0.342,0.896,7.757,17.165,10.54,47.43
735.355,-0.051,0.948,7.762,17.294,10.54,47.36
735.419,-0.086,0.995,7.765,17.442,10.54,47.28
735.484,-0.075,1.062,7.769,17.598,10.54,47.22
735.548,-0.077,1.046,7.772,17.757,10.54,47.13
735.613,-0.087,0.982,7.775,17.907,11.4,47.02
735.677,-0.049,0.948,7.778,18.048,10.43,46.96
735.742,-0.063,0.953,7.781,18.179,10.54,46.94
735.806,-0.113,0.914,7.784,18.289,10.55,46.92
735.871,0.199,0.938,7.789,18.387,10.52,46.9
735.935,-0.032,0.912,7.795,18.467,10.54,46.86
736,0.077,0.935,7.803,18.533,10.55,46.84
736.065,0.363,0.893,7.812,18.583,10.54,46.84
736.129,0.082,0.93,7.823,18.623,10.54,46.86
736.194,-0.093,0.938,7.833,18.65,10.54,46.88
736.258,-0.088,0.924,7.847,18.666,10.54,46.91
736.323,-0.084,0.927,7.86,18.674,10.54,46.89
736.387,-0.094,0.945,7.876,18.671,10.54,46.84
736.452,-0.1,1.041,7.891,18.659,10.54,46.81
736.516,-0.046,0.997,7.908,18.638,10.54,46.83
736.581,-0.095,0.945,7.924,18.609,10.54,46.86
736.645,0.044,0.982,7.941,18.576,10.54,46.9
736.71,0.033,0.935,7.956,18.541,10.54,46.93
736.774,-0.026,0.974,7.973,18.5,10.54,46.95
736.839,0.112,0.945,7.988,18.46,10.54,46.95
736.903,0.368,0.914,8.003,18.418,10.54,46.95
736.968,-0.001,0.901,8.018,18.377,10.54,46.97
737.032,-0.098,0.938,8.031,18.334,10.54,46.98
737.097,-0.089,0.86,8.044,18.29,10.54,46.96
737.161,-0.085,0.906,8.054,18.248,10.54,46.89
737.226,-0.095,0.93,8.066,18.207,10.54,46.84
737.29,-0.096,0.888,8.074,18.165,10.54,46.86
737.355,-0.044,0.958,8.083,18.125,10.54,46.86
737.419,-0.081,1.002,8.09,18.084,10.54,46.81
737.484,-0.021,1.007,8.096,18.041,10.54,46.81
737.548,0.096,0.94,8.103,17.998,10.54,46.84
737.613,-0.023,0.914,8.107,17.958,10.54,46.88
737.677,0.105,0.989,8.11,17.915,10.54,46.88
737.742,0.374,0.87,8.114,17.872,10.54,46.9
737.806,0.033,0.891,8.115,17.83,10.54,46.92
737.871,-0.088,0.927,8.119,17.789,10.54,46.94
737.935,-0.083,0.932,8.119,17.747,10.54,46.94
738,-0.076,0.888,8.12,17.705,10.54,46.88
738.065,-0.087,0.868,8.122,17.665,10.54,46.78
738.129,-0.088,0.87,8.122,17.628,10.54,46.76
738.194,-0.023,0.961,8.119,17.588,10.54,46.79
738.258,-0.094,0.919,8.118,17.549,10.54,46.81
738.323,0.187,0.891,8.117,17.512,10.54,46.82
738.387,-0.08,0.979,8.114,17.476,10.54,46.82
738.452,-0.007,1,8.11,17.442,10.54,46.79
738.516,0.156,0.966,8.108,17.41,10.54,46.77
738.581,0.367,0.969,8.104,17.379,10.54,46.81
738.645,-0.021,0.94,8.1,17.35,10.54,46.82
738.71,-0.084,0.909,8.094,17.323,10.54,46.84
738.774,-0.071,0.956,8.088,17.298,10.54,46.86
738.839,-0.071,0.974,8.081,17.272,10.54,46.87
738.903,-0.08,0.917,8.075,17.248,10.54,46.84
738.968,-0.066,0.883,8.068,17.225,10.54,46.83
739.032,-0.017,0.875,8.06,17.204,10.54,46.84
739.097,-0.102,0.87,8.044,17.164,10.54,46.87
739.161,0.182,0.932,8.043,17.162,10.54,46.87
739.226,-0.031,0.956,8.036,17.144,10.54,46.93
739.29,0.038,0.919,8.027,17.125,10.54,46.93
739.355,0.265,0.94,8.018,17.108,10.54,46.93
739.419,0.278,0.987,8.009,17.091,10.54,46.93
739.484,-0.055,1.028,8.002,17.074,10.54,46.92
739.548,-0.068,0.995,7.992,17.059,10.54,46.92
739.613,-0.058,0.901,7.983,17.043,10.54,46.93
739.677,-0.066,0.917,7.974,17.028,10.54,46.92
739.742,-0.072,0.906,7.966,17.015,10.54,46.88
739.806,-0.031,0.904,7.957,17.001,10.54,46.88
739.871,-0.048,0.904,7.949,16.988,10.54,46.87
739.935,-0.065,0.834,7.94,16.976,10.54,46.86
740,0.172,0.912,7.931,16.962,10.54,46.86
740.065,-0.01,0.912,7.922,16.951,10.54,46.87
740.129,0.101,0.901,7.915,16.94,10.54,46.86
740.194,0.376,0.935,7.906,16.929,10.54,46.87
740.258,0.086,0.909,7.899,16.918,10.54,46.89
740.323,-0.069,0.948,7.89,16.906,10.54,46.88
740.387,-0.066,0.919,7.882,16.896,10.54,46.91
740.452,-0.063,0.971,7.875,16.886,10.54,46.88
740.516,-0.072,1.036,7.866,16.876,10.54,46.85
740.581,-0.061,0.953,7.86,16.866,10.54,46.83
740.645,-0.021,0.951,7.854,16.857,10.54,46.83
740.71,-0.105,0.953,7.847,16.849,10.54,46.83
740.774,0.172,0.958,7.84,16.839,10.54,46.86
740.839,-0.033,0.976,7.834,16.829,10.52,46.86
740.903,0.036,0.924,7.828,16.822,10.54,46.87
740.968,0.265,0.862,7.822,16.813,10.54,46.87
741.032,0.242,0.919,7.817,16.804,10.54,46.88
741.097,-0.071,0.899,7.809,16.797,10.54,46.89
741.161,-0.082,0.956,7.804,16.788,10.54,46.88
741.226,-0.074,0.945,7.798,16.781,10.54,46.91
741.29,-0.085,0.93,7.792,16.774,10.54,46.87
741.355,-0.087,0.984,7.787,16.767,10.54,46.82
741.419,-0.024,0.997,7.782,16.761,10.54,46.81
741.484,-0.114,1.013,7.777,16.754,10.54,46.83
741.548,0.161,1.031,7.773,16.749,10.54,46.84
741.613,-0.08,0.94,7.769,16.741,10.54,46.83
741.677,0,0.919,7.765,16.734,10.54,46.82
741.742,0.196,0.88,7.76,16.727,10.54,46.82
741.806,0.283,0.956,7.755,16.721,10.54,46.83
741.871,-0.074,0.873,7.75,16.714,10.54,46.86
741.935,-0.101,0.87,7.747,16.709,10.54,46.86
742,-0.091,0.834,7.742,16.701,10.54,46.85
742.065,-0.098,0.875,7.739,16.695,10.54,46.83
742.129,-0.098,0.914,7.735,16.689,10.54,46.79
742.194,-0.037,0.958,7.732,16.684,10.54,46.8
742.258,-0.13,0.906,7.727,16.679,10.54,46.82
742.323,0.137,1,7.724,16.672,10.54,46.83
742.387,-0.079,0.924,7.72,16.667,10.54,46.83
742.452,-0.006,1.036,7.717,16.662,10.54,46.83
742.516,0.198,0.958,7.714,16.654,10.54,46.84
742.581,0.255,0.948,7.711,16.649,10.54,46.86
742.645,-0.088,0.976,7.709,16.644,10.54,46.9
742.71,-0.106,0.909,7.706,16.639,10.52,46.89
742.774,-0.099,0.927,7.702,16.633,10.54,46.88
742.839,-0.105,0.909,7.7,16.629,10.52,46.85
742.903,-0.094,0.93,7.697,16.623,10.52,46.8
742.968,-0.056,0.886,7.694,16.619,10.54,46.8
743.032,-0.146,0.899,7.69,16.614,10.54,46.82
743.097,0.138,0.875,7.687,16.609,10.52,46.83
743.161,-0.062,0.896,7.685,16.604,10.54,46.83
743.226,0.014,0.924,7.683,16.599,10.54,46.83
743.29,0.259,0.901,7.68,16.595,10.54,46.82
743.355,0.157,0.938,7.678,16.59,10.52,46.82
743.419,-0.108,0.992,7.675,16.585,10.54,46.84
743.484,-0.112,1.01,7.673,16.582,10.52,46.86
743.548,-0.107,0.945,7.67,16.577,10.52,46.83
743.613,-0.116,0.912,7.668,16.571,10.54,46.82
743.677,-0.071,0.938,7.667,16.567,10.54,46.78
743.742,-0.101,0.935,7.664,16.564,10.54,46.79
743.806,-0.065,0.945,7.662,16.56,10.54,46.81
743.871,0.056,0.935,7.659,16.555,10.54,46.82
743.935,0.046,0.862,7.658,16.552,10.52,46.82
744,0.12,0.855,7.655,16.547,10.54,46.82
744.065,0.318,0.909,7.654,16.544,10.54,46.83
744.129,0.002,0.922,7.652,16.54,10.54,46.86
744.194,-0.116,0.961,7.649,16.537,10.52,46.92
