Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),HR(bpm),marker(mV),RESP(mV)
1425.355,-0.039,0.904,13.102,103,10.04,40.73
1425.419,0.161,1.114,13.093,103,10.04,40.64
1425.484,-0.1,1.054,13.079,103,10.04,40.56
1425.548,-0.19,0.94,13.063,103,10.02,40.22
1425.613,-0.181,0.886,13.046,103,10.04,40.03
1425.677,-0.14,0.839,13.038,103,10.04,40.11
1425.742,-0.282,0.831,13.034,103,10.04,39.94
1425.806,-0.061,0.961,13.051,103,10.04,39.63
1425.871,-0.29,0.958,13.1,103,10.04,39.6
1425.935,-0.201,0.803,13.169,103,10.04,39.59
1426,0.008,0.906,13.229,100,10.04,39.13
1426.065,-0.157,0.896,13.271,100,10.05,38.75
1426.129,-0.304,0.844,13.305,100,10.05,38.83
1426.194,-0.296,0.842,13.341,100,10.05,38.73
1426.258,-0.226,0.953,13.382,100,10.04,38.42
1426.323,-0.296,0.969,13.449,100,10.05,38.64
1426.387,-0.112,0.912,13.507,100,10.05,38.89
1426.452,-0.3,1.01,13.585,100,10.05,38.53
1426.516,-0.228,1.176,13.656,100,10.05,38.23
1426.581,-0.038,1.29,13.679,100,10.04,38.3
1426.645,0.011,0.971,13.684,100,10.04,38.12
1426.71,-0.218,1.09,13.698,100,10.04,37.9
1426.774,-0.209,1.018,13.726,100,10.04,37.87
1426.839,-0.116,0.945,13.757,100,10.04,38.36
1426.903,-0.167,0.792,13.78,100,10.04,38.73
1426.968,-0.068,0.8,13.804,100,10.04,38.77
1427.032,-0.085,0.805,13.825,100,10.04,38.91
1427.097,-0.125,1.033,13.838,100,10.04,39.24
1427.161,0.05,0.924,13.838,101,10.04,39.51
1427.226,0.135,0.888,13.831,101,10.04,39.83
1427.29,-0.11,0.909,13.827,101,10.04,40.27
1427.355,-0.112,0.893,13.83,101,10.04,40.37
1427.419,-0.043,1.132,13.822,101,10.04,40.11
1427.484,-0.065,1.095,13.806,101,10.02,40.06
1427.548,-0.09,0.956,13.793,101,10.04,40.29
1427.613,0.118,1.054,13.782,101,10.04,40.43
1427.677,-0.057,0.956,13.768,101,10.04,40.46
1427.742,0.083,0.865,13.756,101,10.04,40.58
1427.806,0.01,0.963,13.727,101,10.04,40.99
1427.871,-0.065,0.951,13.703,101,10.04,41.45
1427.935,-0.07,1.033,13.69,101,10.04,41.06
1428,-0.015,0.924,13.666,101,10.04,40.42
1428.065,0.008,0.901,13.65,101,10.04,40.15
1428.129,-0.103,0.984,13.624,101,10.02,39.76
1428.194,0.181,0.906,13.62,101,10.02,39.68
1428.258,-0.041,0.958,13.591,101,10.02,38.89
1428.323,0.075,1.002,13.563,101,10.04,39.02
1428.387,0.271,0.982,13.544,101,10.04,39.56
1428.452,0.013,0.888,13.512,101,10.04,39.96
1428.516,-0.045,0.982,13.475,101,10.04,40.13
1428.581,0.002,0.987,13.437,101,10.04,40.26
1428.645,0.023,1.036,13.405,101,10.04,40.25
1428.71,-0.086,0.984,13.37,101,10.04,40.07
1428.774,0.213,0.917,13.333,101,10.04,40.27
1428.839,-0.012,1.052,13.293,101,10.04,40.53
1428.903,0.099,0.839,13.252,101,10.04,40.11
1428.968,0.272,0.842,13.204,101,10.05,40.34
1429.032,-0.005,0.787,13.171,101,10.05,41.01
1429.097,-0.095,1.127,13.143,103,10.05,41.45
1429.161,-0.038,0.787,13.159,103,10.05,41.65
1429.226,-0.071,1.137,13.219,103,10.05,42.04
1429.29,-0.127,0.951,13.22,103,10.05,42.03
1429.355,0.085,0.932,13.202,103,10.05,41.57
1429.419,-0.12,1.046,13.164,103,10.05,41.51
1429.484,0.016,0.953,13.102,103,10.05,41.63
1429.548,0.125,0.909,13.051,104,10.05,41.58
1429.613,-0.134,0.987,12.984,104,10.05,41.58
1429.677,-0.151,0.966,12.879,104,10.05,41.66
1429.742,-0.057,0.891,12.792,104,10.05,41.55
1429.806,-0.091,0.94,12.739,104,10.05,41.11
1429.871,-0.06,0.829,12.712,104,10.05,40.56
1429.935,0.033,0.816,12.713,104,10.05,40.06
1430,-0.069,0.816,12.704,104,10.05,39.74
1430.065,0.083,0.754,12.715,104,10.05,39.62
1430.129,0.189,0.963,12.73,104,10.05,39.23
1430.194,-0.073,0.831,12.736,104,10.05,38.68
1430.258,-0.098,0.948,12.741,103,10.05,38.32
1430.323,-0.007,1.052,12.761,103,10.05,38.17
1430.387,-0.096,0.963,12.838,103,10.05,38.13
1430.452,0.142,0.982,12.96,103,10.05,38.02
1430.516,-0.139,0.984,13.03,103,10.04,37.79
1430.581,-0.069,1.103,12.955,103,10.04,37.6
1430.645,0.123,0.997,12.872,106,10.02,37
1430.71,0.11,1.013,12.874,106,10.02,36.61
1430.774,-0.108,1.088,12.879,106,10.02,36.57
1430.839,-0.064,1.059,12.894,106,10.02,36.74
1430.903,0.022,0.826,12.901,106,10.02,37.43
1430.968,-0.106,0.969,12.91,106,10.02,37.84
1431.032,0.181,0.912,12.918,106,10.02,37.78
1431.097,0.039,0.901,12.914,106,10.02,37.84
1431.161,0.102,0.891,12.905,106,10.02,38.37
1431.226,0.24,0.969,12.91,106,10.02,38.85
1431.29,-0.013,0.935,12.913,106,10.02,39.4
1431.355,-0.104,0.995,12.919,109,10.02,39.72
1431.419,-0.014,1.015,12.963,109,10.02,39.39
1431.484,-0.111,1.09,12.964,109,10.02,39.4
1431.548,0.145,1.041,12.997,109,10.02,39.62
1431.613,-0.186,1.22,13.037,109,10.02,39.85
1431.677,-0.079,1.582,13.084,109,10.02,39.88
1431.742,0.113,1.878,13.137,109,10.02,39.79
1431.806,0.059,1.411,13.193,109,10.02,39.69
1431.871,-0.16,1.606,13.255,109,10.02,39.52
1431.935,-0.137,1.756,13.319,109,10.02,39.39
1432,-0.077,-3.745,13.384,109,10.02,39.25
1432.065,-0.226,-3.316,13.453,109,10.02,39.11
1432.129,0.075,-4.059,13.517,109,10.02,39
1432.194,-0.183,-2.492,13.578,109,10.02,38.8
1432.258,-0.075,-0.814,13.64,109,10.02,38.51
1432.323,0.105,0.587,13.695,109,10.02,38.11
1432.387,-0.244,1.841,13.743,109,10.02,37.54
1432.452,-0.282,3.26,13.784,109,10.02,37.09
1432.516,-0.205,-0.203,13.823,109,10.02,36.65
1432.581,-0.368,-0.127,13.855,109,10.02,36.35
1432.645,-0.047,2.558,13.881,109,10.05,36.26
1432.71,-0.368,-0.549,13.91,109,10.06,36.24
1432.774,-0.226,0.647,13.936,109,10.06,36.36
1432.839,0.022,-1.07,13.954,112,10.05,36.63
1432.903,-0.059,-1.01,13.967,112,10.04,37
1432.968,-0.163,-2.088,13.977,112,10.05,37.42
1433.032,-0.081,-3.978,13.999,112,10.05,36.42
1433.097,-0.175,3.048,14.02,112,10.05,34.25
1433.161,0.037,2.455,14.04,112,10.06,33.47
1433.226,-0.144,2.528,14.058,112,10.06,34.54
1433.29,-0.061,3.115,14.086,112,10.05,36.87
1433.355,0.154,-3.955,14.136,112,10.05,37.55
1433.419,0.166,2.667,14.184,112,10.06,37.44
1433.484,-0.036,2.522,14.209,112,10.05,37.78
1433.548,0.006,3.763,14.147,111,10.05,38.51
1433.613,0.054,1.251,14.039,111,10.06,38.99
1433.677,-0.045,2.046,13.984,111,10.05,38.97
1433.742,0.304,2.955,13.954,111,10.05,38.92
1433.806,0.037,1.766,13.99,111,10.06,38.91
1433.871,0.206,1.823,13.99,111,10.05,38.91
1433.935,0.38,1.282,13.985,111,10.05,38.89
1434,0.122,1.052,14.007,111,10.06,38.82
1434.065,0.117,1.298,14.007,111,10.05,38.8
1434.129,0.244,2.693,13.999,111,10.05,38.78
1434.194,0.146,1.316,14.008,111,10.06,38.74
1434.258,0.495,0.761,14.011,111,10.05,38.69
1434.323,0.093,2.131,14.014,111,10.05,38.64
1434.387,0.22,1.388,14.013,111,10.06,38.62
1434.452,0.389,1.87,14.012,111,10.05,38.57
1434.516,0.275,1.528,14.003,111,10.06,38.5
1434.581,0.092,1.385,13.997,111,10.06,38.19
1434.645,0.17,0.893,13.99,111,10.06,37.78
1434.71,0.177,1.647,13.977,111,10.07,37.45
1434.774,0.124,0.754,13.968,111,10.07,37.24
1434.839,0.426,0.878,13.962,111,10.07,37.23
1434.903,0.218,1.411,13.963,109,10.07,37.25
1434.968,0.379,1.16,13.97,109,10.07,37.28
1435.032,0.508,1.266,13.989,109,10.07,37.29
1435.097,0.238,0.935,14.014,109,10.07,37.29
1435.161,0.239,1.191,14.024,109,10.07,37.39
1435.226,0.354,1.181,14.051,109,10.07,37.47
1435.29,0.239,0.772,14.101,109,10.07,37.48
1435.355,0.563,0.697,14.133,109,10.06,37.48
1435.419,0.236,1.163,14.177,109,10.06,37.48
1435.484,0.336,0.767,14.296,109,10.06,37.51
1435.548,0.533,0.759,14.453,109,10.06,37.49
1435.613,0.379,0.736,14.488,109,10.05,37.44
1435.677,0.187,0.909,14.367,109,10.05,37.36
1435.742,0.215,0.875,14.343,109,10.05,37.34
1435.806,0.232,0.769,14.347,109,10.05,37.42
1435.871,0.104,0.624,14.363,109,10.04,37.5
1435.935,0.437,0.528,14.382,109,10.04,37.56
1436,0.183,0.606,14.381,107,10.04,37.66
1436.065,0.305,0.634,14.391,107,10.04,37.75
1436.129,0.495,0.692,14.401,107,10.04,37.8
1436.194,0.21,0.754,14.422,107,10.04,37.82
1436.258,0.136,0.759,14.431,107,10.04,38.84
1436.323,0.208,0.852,14.428,107,10.02,40.18
1436.387,0.061,0.824,14.407,107,10.02,40.22
1436.452,0.414,0.912,14.386,107,10.04,40.15
1436.516,-0.036,0.767,14.38,107,10.02,39.97
1436.581,0.073,0.715,14.36,107,10.02,39.72
1436.645,0.251,0.767,14.355,107,10.02,39.4
1436.71,0.095,0.888,14.354,107,10.02,39.08
1436.774,-0.078,0.79,14.352,107,10.02,38.86
1436.839,-0.023,0.689,14.351,109,10.04,37.89
1436.903,0.045,0.723,14.347,109,10.04,37.09
1436.968,0.038,0.58,14.34,109,10.04,36.78
1437.032,0.439,0.787,14.346,109,10.04,36.7
1437.097,0.246,1.533,14.347,109,10.04,36.55
1437.161,0.44,1.028,14.342,109,10.04,36.47
1437.226,0.615,1.538,14.332,109,10.04,36.48
1437.29,0.362,1.057,14.326,109,10.04,36.83
1437.355,0.368,1.409,14.329,109,10.04,37.4
1437.419,0.509,1.196,14.331,109,10.04,38.37
1437.484,0.373,1.647,14.33,109,10.04,39.57
1437.548,0.741,1,14.322,109,10.04,40.03
1437.613,0.44,0.979,14.319,109,10.05,40.29
1437.677,0.577,1.409,14.32,109,10.05,41.14
1437.742,0.833,0.834,14.343,109,10.05,41.7
1437.806,0.598,0.992,14.36,109,10.05,42.89
1437.871,0.485,1.007,14.385,109,10.05,43.53
1437.935,0.521,0.668,14.397,109,10.05,43.67
1438,0.42,0.865,14.403,109,10.05,43.55
1438.065,0.518,1.145,14.42,109,10.05,42.99
1438.129,0.205,0.992,14.475,109,10.05,42.62
1438.194,0.182,0.938,14.5,112,10.05,42.2
1438.258,0.387,1.222,14.487,112,10.05,41.15
1438.323,0.354,0.673,14.44,112,10.05,39.94
1438.387,0.149,0.979,14.455,112,10.05,38.98
1438.452,0.205,0.909,14.458,112,10.05,37.95
1438.516,0.278,0.58,14.434,112,10.05,37.55
1438.581,0.148,0.653,14.462,112,10.05,37.2
1438.645,0.397,1.15,14.476,112,10.05,37
1438.71,0.18,0.673,14.458,112,10.05,36.09
1438.774,0.363,0.818,14.459,112,10.05,35.26
1438.839,0.543,0.585,14.406,112,10.05,35.06
1438.903,0.292,0.663,14.391,112,10.05,35.03
1438.968,0.307,0.782,14.381,112,10.05,35.13
1439.032,0.405,1.049,14.386,112,10.05,34.96
1439.097,0.276,0.761,14.407,112,10.05,35.16
1439.161,0.617,0.914,14.419,112,10.05,35.48
1439.226,0.342,0.751,14.413,112,10.05,35.59
1439.29,0.459,0.746,14.414,112,10.05,35.64
1439.355,0.678,0.653,14.41,112,10.05,35.61
1439.419,0.466,0.743,14.415,112,10.05,35.55
1439.484,0.415,0.787,14.426,112,10.05,35.48
1439.548,0.54,0.772,14.439,112,10.05,35.48
1439.613,0.442,0.694,14.444,112,10.05,35.57
1439.677,0.749,1.127,14.453,112,10.05,35.72
1439.742,0.33,0.873,14.461,112,10.05,36.01
1439.806,0.437,2.002,14.461,112,10.05,36.36
1439.871,0.629,0.922,14.452,112,10.05,36.54
1439.935,0.531,1.259,14.467,112,10.05,36.58
1440,0.358,0.678,14.49,112,10.05,36.6
1440.065,0.406,0.678,14.511,112,10.04,36.63
1440.129,0.411,0.808,14.487,112,10.04,36.66
1440.194,0.292,0.779,14.408,112,10.04,36.71
1440.258,0.6,0.816,14.399,286,10.04,37.14
1440.323,0.307,0.886,14.4,286,10.04,37.89
1440.387,0.367,1.147,14.404,286,10.06,38.75
1440.452,0.426,1.181,14.407,286,10.05,39.38
1440.516,0.16,0.761,14.411,286,10.05,39.58
1440.581,0.119,1.106,14.408,286,10.05,39.6
1440.645,0.22,0.759,14.489,286,10.05,39.6
1440.71,0.087,1.046,14.549,286,10.05,39.32
1440.774,0.403,0.935,14.433,286,10.05,38.85
1440.839,0.069,0.798,14.324,286,10.05,38.78
1440.903,0.16,1.396,14.274,286,10.05,39.04
1440.968,0.446,0.596,14.285,286,10.05,38.83
1441.032,0.328,0.58,14.284,286,10.06,38.6
1441.097,0.241,0.927,14.272,286,10.06,38.35
1441.161,0.387,1.088,14.249,286,10.07,38.12
1441.226,0.417,1.502,14.232,286,10.07,37.99
1441.29,0.561,1.486,14.239,286,10.08,37.92
1441.355,0.581,2.023,14.24,286,10.08,38.03
1441.419,0.493,1.634,14.242,286,10.08,38.23
1441.484,0.652,1.399,14.234,286,10.1,38.46
1441.548,0.686,1.111,14.236,286,10.1,38.82
1441.613,0.414,1.399,14.244,286,10.1,39.18
1441.677,0.419,1.401,14.254,286,10.1,39.62
1441.742,0.46,1.026,14.268,286,10.1,39.97
1441.806,0.295,1.663,14.278,286,10.1,40.03
1441.871,0.588,0.725,14.288,286,10.1,40
1441.935,0.298,1.059,14.298,286,10.1,39.96
1442,0.376,0.673,14.302,286,10.1,39.87
1442.065,0.501,1.08,14.299,286,10.1,39.78
1442.129,0.209,0.736,14.295,286,10.08,39.66
1442.194,0.054,1.235,14.285,286,10.08,39.58
1442.258,-0.044,0.591,14.285,286,10.08,39.53
1442.323,-0.31,0.982,14.309,286,10.07,39.52
1442.387,-0.137,1.147,14.393,286,10.07,39.4
1442.452,-0.514,1.313,14.492,286,10.06,39.09
1442.516,-0.427,1.305,14.523,286,10.07,38.58
1442.581,-0.417,1.002,14.491,56,10.06,37.97
1442.645,-0.932,0.831,14.38,56,10.06,37.14
1442.71,-1.24,0.995,14.352,56,10.06,36.84
1442.774,-1.189,1.347,14.354,56,10.06,36.74
1442.839,-1.282,0.826,14.381,56,10.06,36.5
1442.903,-0.917,0.712,14.395,56,10.06,35.12
1442.968,-1.099,0.704,14.398,56,10.06,34.49
1443.032,-0.832,0.961,14.423,56,10.05,34.19
1443.097,-0.516,0.798,14.45,56,10.05,34.28
1443.161,-0.493,0.653,14.483,56,10.05,34.49
1443.226,-0.621,1.442,14.51,56,10.05,34.76
1443.29,-0.542,0.785,14.541,56,10.05,35.78
1443.355,-0.43,1.696,14.56,56,10.05,36.99
1443.419,-0.501,2.484,14.563,56,10.05,37.6
1443.484,-0.06,1.979,14.579,56,10.05,37.73
1443.548,-0.268,2.895,14.587,56,10.05,37.67
1443.613,-0.058,-1.503,14.591,56,10.05,37.37
1443.677,0.163,0.124,14.609,55,10.05,37.47
1443.742,-0.01,-2.502,14.631,55,10.05,37.38
1443.806,0.001,0.688,14.623,55,10.04,37.19
1443.871,0.099,-0.303,14.641,55,10.04,37.66
1443.935,-0.077,2.626,14.674,55,10.04,37.97
1444,-0.118,-0.555,14.706,55,10.05,38.54
1444.065,-0.119,-0.332,14.692,55,10.04,38.66
1444.129,-0.077,1.994,14.667,55,10.05,38.42
1444.194,0.129,-2.959,14.664,55,10.05,38.11
1444.258,-0.112,-3.003,14.672,55,10.05,37.96
1444.323,-0.172,1.32,14.67,55,10.05,38.24
1444.387,-0.066,1.149,14.672,55,10.05,38.27
1444.452,-0.212,-2.541,14.678,55,10.05,37.74
1444.516,0.049,-3.316,14.699,55,10.05,36.86
1444.581,-0.262,2.054,14.715,55,10.05,36.99
1444.645,-0.193,0.922,14.74,55,10.05,37.12
1444.71,-0.023,1.456,14.755,57,10.05,38.03
1444.774,-0.256,0.622,14.774,57,10.05,39.55
1444.839,-0.349,1.564,14.803,57,10.05,39.84
1444.903,-0.263,1.142,14.826,57,10.05,40.58
1444.968,-0.402,0.779,14.844,57,10.05,41.42
1445.032,-0.105,0.715,14.841,57,10.05,41.42
1445.097,-0.403,0.689,14.845,57,10.04,41.62
1445.161,-0.327,0.761,14.854,57,10.05,42.35
1445.226,-0.139,0.85,14.864,57,10.05,43.31
1445.29,-0.32,0.73,14.874,57,10.05,44.1
1445.355,-0.408,0.73,14.872,57,10.04,45.04
1445.419,-0.33,0.655,14.897,57,10.04,45.62
1445.484,-0.44,0.813,14.929,57,10.04,44.95
1445.548,-0.142,0.699,14.956,57,10.05,44.05
1445.613,-0.428,0.673,14.998,57,10.05,43.29
1445.677,-0.323,0.668,15.003,57,10.05,42.53
1445.742,-0.128,0.663,15.015,57,10.05,42.47
1445.806,-0.275,0.811,14.997,57,10.05,43.13
1445.871,-0.35,0.629,15.021,57,10.05,43.59
1445.935,-0.241,0.681,15.047,57,10.05,44.13
1446,-0.354,0.72,15.067,57,10.05,44.5
1446.065,-0.079,0.72,15.085,57,10.05,44.88
1446.129,-0.33,0.655,15.082,57,10.05,44.97
1446.194,-0.234,0.601,15.067,57,10.04,45.11
1446.258,-0.01,0.785,15.017,57,10.05,45.35
1446.323,-0.161,0.738,14.952,57,10.05,45.76
1446.387,-0.243,0.712,14.929,57,10.05,46.22
1446.452,-0.147,0.707,14.905,57,10.05,46.87
1446.516,-0.273,0.728,14.882,57,10.05,47.45
1446.581,0.049,0.689,14.853,57,10.05,47.61
1446.645,-0.217,0.697,14.835,57,10.05,47.68
1446.71,-0.103,0.704,14.833,57,10.05,48.12
1446.774,0.082,0.717,14.791,118,10.05,48.48
1446.839,-0.136,0.71,14.723,118,10.04,49.15
1446.903,-0.151,0.658,14.669,118,10.04,49.77
1446.968,-0.151,0.647,14.632,118,10.04,49.85
1447.032,0.061,0.645,14.579,118,10.04,50.04
1447.097,0.067,0.678,14.524,118,10.05,50.37
1447.161,-0.155,0.761,14.476,118,10.05,51
1447.226,-0.021,0.73,14.424,120,10.05,51.32
1447.29,0.118,0.717,14.371,120,10.05,50.91
1447.355,-0.117,0.738,14.367,120,10.05,50.88
1447.419,-0.089,0.702,14.306,120,10.05,50.88
1447.484,-0.1,0.65,14.265,120,10.05,50.96
1447.548,0.079,0.684,14.217,120,10.05,50.72
1447.613,-0.139,0.658,14.167,120,10.05,50
1447.677,-0.12,0.673,14.117,120,10.05,49.22
1447.742,0.031,0.66,14.061,120,10.05,48.93
1447.806,0.076,0.689,13.996,120,10.05,49.13
1447.871,-0.141,0.609,13.942,120,10.05,49.33
1447.935,-0.064,0.678,13.891,120,10.05,49.12
1448,-0.104,0.603,13.853,120,10.05,48.7
1448.065,0.114,0.658,13.815,120,10.05,48.17
1448.129,-0.216,0.666,13.788,120,10.05,47.88
1448.194,-0.131,0.673,13.768,120,10.05,47.75
1448.258,0,0.684,13.756,116,10.05,47.47
1448.323,0.036,0.738,13.733,116,10.05,47.03
1448.387,-0.177,0.697,13.598,116,10.05,46.82
1448.452,-0.102,0.736,13.472,116,10.05,46.55
1448.516,-0.16,0.738,13.379,116,10.05,46
1448.581,0.059,0.692,13.335,116,10.05,45.5
1448.645,-0.247,0.723,13.308,116,10.05,45.34
1448.71,-0.184,0.671,13.266,116,10.05,45.49
1448.774,-0.038,0.627,13.24,116,10.05,45.41
1448.839,0.003,0.596,13.205,116,10.06,45.25
1448.903,-0.205,0.663,13.175,116,10.06,45.36
1448.968,-0.169,0.622,13.148,116,10.06,45.37
1449.032,-0.165,0.774,13.122,116,10.06,45.38
1449.097,-0.206,0.681,13.101,116,10.07,45.38
1449.161,-0.079,0.749,13.081,116,10.07,45.25
1449.226,-0.23,0.673,13.063,116,10.07,44.92
1449.29,-0.118,0.824,13.047,116,10.07,44.6
1449.355,0.005,0.702,13.037,112,10.07,44.64
1449.419,-0.219,0.777,13.032,112,10.07,44.64
1449.484,-0.219,0.694,13.031,112,10.06,44.61
1449.548,-0.166,0.738,13.036,112,10.06,44.5
1449.613,-0.288,0.699,13.046,112,10.06,44.25
1449.677,-0.029,0.616,13.056,112,10.07,44.11
1449.742,-0.272,0.606,13.072,112,10.06,44.26
1449.806,-0.178,0.647,13.091,112,10.07,45.01
1449.871,-0.019,0.565,13.113,114,10.06,45.89
1449.935,-0.224,0.629,13.134,114,10.06,46.48
1450,-0.244,0.655,13.148,114,10.07,46.81
1450.065,-0.186,0.686,13.159,114,10.07,47.32
1450.129,-0.33,0.653,13.174,114,10.07,47.8
1450.194,-0.036,0.681,13.19,114,10.06,47.78
1450.258,-0.307,0.749,13.202,114,10.06,48
1450.323,-0.208,0.785,13.214,114,10.06,48.47
1450.387,-0.046,0.717,13.224,116,10.06,48.54
1450.452,-0.256,0.699,13.231,116,10.05,48.55
1450.516,-0.274,0.834,13.24,116,10.05,48.93
1450.581,-0.226,0.72,13.249,116,10.05,49.12
1450.645,-0.361,0.655,13.263,116,10.05,48.85
1450.71,-0.06,0.655,13.276,116,10.05,48.5
1450.774,-0.345,0.666,13.293,116,10.05,48.68
1450.839,-0.236,0.627,13.342,116,10.05,48.8
1450.903,-0.088,0.803,13.474,116,10.05,48.26
1450.968,-0.299,0.746,13.571,116,10.04,47.44
1451.032,-0.327,0.725,13.547,116,10.04,46.67
1451.097,-0.254,0.782,13.401,116,10.04,46.45
1451.161,-0.397,0.756,13.374,116,10.04,46.38
1451.226,-0.122,0.733,13.365,116,10.04,46.06
1451.29,-0.38,0.875,13.366,116,10.02,45.96
1451.355,-0.306,0.725,13.378,116,10.02,46.03
1451.419,-0.127,0.733,13.388,112,10.02,46.12
1451.484,-0.266,0.697,13.395,112,10.02,46.22
1451.548,-0.381,0.723,13.401,112,10.02,46.18
1451.613,-0.302,0.676,13.41,112,10.02,45.6
1451.677,-0.387,0.712,13.416,112,10.02,44.78
1451.742,-0.179,0.681,13.422,112,10.02,44.42
1451.806,-0.519,0.572,13.436,112,10.02,44.45
1451.871,-0.435,0.751,13.442,112,10.02,44.19
1451.935,-0.279,0.692,13.447,111,10.02,43.72
1452,-0.225,0.717,13.454,111,10.02,42.98
1452.065,-0.425,0.653,13.454,111,10.02,42.62
1452.129,-0.404,0.73,13.456,111,10.02,42.81
1452.194,-0.322,0.795,13.459,111,10.02,43.25
1452.258,-0.447,0.754,13.454,111,10.02,43.62
1452.323,-0.187,0.774,13.452,111,10.02,43.98
1452.387,-0.37,0.782,13.451,111,10.02,44.12
1452.452,-0.24,0.779,13.451,111,10.02,44.14
1452.516,-0.009,0.751,13.447,107,10.02,44.34
1452.581,-0.094,0.715,13.444,107,10.02,44.71
1452.645,-0.183,0.728,13.447,107,10.02,44.58
1452.71,-0.114,0.774,13.45,107,10.02,43.94
1452.774,-0.137,0.655,13.456,107,10.02,43.63
1452.839,0.031,0.653,13.465,107,10.02,43.43
1452.903,0.059,0.689,13.484,107,10.02,42.85
1452.968,-0.134,0.692,13.503,107,10.02,42.73
1453.032,-0.031,0.692,13.532,107,10.04,43.4
1453.097,0.114,0.697,13.592,107,10.04,44.27
1453.161,-0.08,0.697,13.595,107,10.02,44.33
1453.226,-0.116,0.756,13.631,107,10.02,45.03
1453.29,-0.039,0.754,13.674,107,10.02,45.58
1453.355,-0.161,0.834,13.717,107,10.02,45.36
1453.419,0.118,0.712,13.759,106,10.02,45.16
1453.484,-0.273,0.73,13.808,106,10.02,45.53
1453.548,-0.148,0.72,13.859,106,10.02,46.04
1453.613,0,0.736,13.901,106,10.04,46.64
1453.677,-0.002,0.738,13.94,106,10.02,47.53
1453.742,-0.187,0.741,13.974,106,10.02,48.17
1453.806,-0.151,0.684,14.012,106,10.02,48.12
1453.871,-0.136,0.749,14.044,106,10.02,47.8
1453.935,-0.279,0.717,14.075,106,10.02,47.58
1454,-0.007,0.728,14.101,106,10.02,47.52
1454.065,-0.258,0.756,14.126,106,10.02,47.61
1454.129,-0.148,0.736,14.145,106,10.02,47.62
1454.194,-0.001,0.769,14.163,106,10.02,47.54
1454.258,-0.184,0.751,14.173,106,10.02,47.35
1454.323,-0.225,0.808,14.177,106,10.02,47.09
1454.387,-0.146,0.779,14.173,106,10.02,46.79
1454.452,-0.216,0.733,14.173,106,10.02,46.51
1454.516,0.002,0.785,14.172,106,10.02,46.03
1454.581,-0.225,0.777,14.164,106,10.02,45.66
1454.645,-0.145,0.751,14.152,106,10.02,45.66
1454.71,0.032,0.699,14.133,106,10.02,45.7
1454.774,0.132,0.702,14.118,106,10.02,45.71
1454.839,-0.005,0.717,14.101,106,10.01,45.74
1454.903,0.001,0.72,14.085,106,10.01,45.71
1454.968,0.066,0.738,14.065,106,10.02,45.57
1455.032,0.042,0.785,14.045,106,10.02,45.3
1455.097,0.144,0.733,14.023,106,10.01,45.03
1455.161,0.105,0.767,13.979,106,10.01,44.93
1455.226,0.076,0.808,13.977,106,10.01,44.93
1455.29,0.217,0.821,13.955,106,10.02,44.88
1455.355,0.33,0.779,13.927,106,10.04,44.88
1455.419,0.133,0.769,13.902,106,10.05,44.91
1455.484,0.127,0.736,13.877,106,10.05,44.96
1455.548,0.138,0.728,13.854,106,10.05,45.02
1455.613,0.16,0.777,13.835,106,10.04,45.02
1455.677,0.015,0.673,13.825,106,10.02,44.66
1455.742,0.252,0.681,13.815,106,10.04,44.33
1455.806,0.015,0.673,13.808,99,10.05,44.29
1455.871,0.094,0.728,13.81,99,10.05,44.41
1455.935,0.23,0.686,13.817,99,10.05,44.83
1456,0.07,0.772,13.83,99,10.04,44.87
1456.065,-0.026,0.692,13.848,99,10.04,44.34
1456.129,-0.046,0.754,13.875,99,10.04,43.84
1456.194,-0.009,0.792,13.907,99,10.04,43.59
1456.258,-0.147,0.821,13.953,99,10.04,43.52
1456.323,0.083,0.824,14.009,99,10.04,43.84
1456.387,-0.203,0.855,14.091,99,10.04,44.11
1456.452,-0.114,0.805,14.125,99,10.04,43.93
1456.516,0.028,0.824,14.095,99,10.04,43.53
1456.581,-0.014,0.816,14.068,99,10.04,43.42
1456.645,-0.173,0.795,14.063,100,10.05,43.64
1456.71,-0.163,0.785,14.084,100,10.04,44.08
1456.774,-0.115,0.798,14.109,100,10.04,44.46
1456.839,-0.25,0.738,14.156,100,10.04,44.8
1456.903,0.005,0.767,14.186,100,10.04,45.46
1456.968,-0.314,0.743,14.208,100,10.04,46.32
1457.032,-0.201,0.743,14.198,100,10.04,46.77
1457.097,-0.05,0.738,14.182,103,10.04,46.79
1457.161,-0.087,0.779,14.18,103,10.05,47
1457.226,-0.243,0.816,14.183,103,10.04,47.5
1457.29,-0.229,0.86,14.186,103,10.04,47.89
1457.355,-0.178,0.779,14.185,103,10.04,47.95
1457.419,-0.305,0.746,14.185,103,10.04,47.8
1457.484,-0.062,0.756,14.187,103,10.04,47.94
1457.548,-0.322,0.772,14.188,103,10.04,48.17
1457.613,-0.227,0.795,14.201,103,10.04,48.28
1457.677,-0.076,0.746,14.202,103,10.04,48.4
1457.742,-0.154,0.803,14.196,103,10.04,48.4
1457.806,-0.287,0.764,14.191,103,10.04,48.54
1457.871,-0.221,0.707,14.179,103,10.04,48.95
1457.935,-0.245,0.984,14.162,103,10.04,49.45
1458,-0.362,0.818,14.143,103,10.05,49.97
