Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),RESP(mV)
819.742,0.066,0.009,4.83,22.827,87,11.114
819.806,0.076,-0.015,4.82,22.822,87,11.114
819.871,0.093,-0.017,4.811,22.929,87,11.112
819.935,0.101,-0.022,4.802,23.677,87,11.114
820,0.075,-0.008,4.791,24.252,87,11.118
820.065,0.11,0.004,4.779,24.266,87,11.118
820.129,-0.278,0.005,4.763,24.145,87,11.118
820.194,0.108,0.021,4.741,23.938,87,11.118
820.258,0.159,0.008,4.721,23.677,87,11.122
820.323,0.125,-0.013,4.705,23.498,87,11.124
820.387,0.093,0.033,4.693,23.369,87,11.126
820.452,0.077,-0.04,4.683,23.189,87,11.124
820.516,0.036,-0.035,4.67,23.1,87,11.114
820.581,0.05,-0.017,4.65,23.079,87,11.11
820.645,0.038,-0.011,4.624,22.909,87,11.11
820.71,0.043,0.007,4.604,22.945,87,11.11
820.774,-0.37,-0.005,4.589,22.81,87,11.11
820.839,0.081,-0.003,4.583,22.688,87,11.11
820.903,0.118,-0.003,4.557,22.732,87,11.11
820.968,-0.002,-0.006,4.538,22.792,87,11.11
821.032,0.085,-0.001,4.524,22.858,114,11.112
821.097,0.003,-0.002,4.515,22.914,114,11.114
821.161,0.038,0,4.505,23.001,114,11.114
821.226,-0.012,-0.01,4.484,23.166,114,11.114
821.29,0.024,-0.012,4.478,23.323,114,11.118
821.355,-0.404,-0.001,4.469,23.489,114,11.114
821.419,0.065,-0.013,4.463,23.676,114,11.118
821.484,0.074,-0.002,4.457,23.898,114,11.118
821.548,0.036,-0.005,4.442,24.091,93,11.118
821.613,-0.001,-0.01,4.426,24.255,93,11.12
821.677,0.005,-0.01,4.405,24.552,93,11.122
821.742,0.016,-0.015,4.403,24.654,93,11.126
821.806,0.011,-0.001,4.399,24.731,93,11.126
821.871,0.009,-0.006,4.398,24.82,93,11.118
821.935,-0.396,-0.002,4.398,24.895,93,11.11
822,0.055,-0.006,4.401,24.935,93,11.11
822.065,0.088,0.004,4.406,24.966,93,11.11
822.129,0.067,0.005,4.412,24.984,93,11.11
822.194,0.02,-0.011,4.423,24.988,93,11.108
822.258,0.05,-0.01,4.438,24.972,93,11.108
822.323,0.058,-0.009,4.456,24.95,93,11.11
822.387,0.05,-0.002,4.472,24.929,93,11.114
822.452,0.038,-0.001,4.493,24.901,93,11.114
822.516,0.043,0.002,4.52,24.866,93,11.114
822.581,-0.354,-0.004,4.549,24.829,93,11.114
822.645,0.084,-0.005,4.575,24.787,93,11.114
822.71,0.111,-0.006,4.598,24.741,93,11.114
822.774,0.098,0.002,4.625,24.696,93,11.114
822.839,0.05,-0.004,4.651,24.659,93,11.114
822.903,0.072,-0.009,4.682,24.623,93,11.118
822.968,0.081,-0.012,4.715,24.566,93,11.12
823.032,0.068,-0.005,4.744,24.506,93,11.122
823.097,0.06,0.001,4.768,24.453,93,11.124
823.161,0.046,-0.006,4.788,24.387,93,11.132
823.226,-0.279,-0.002,4.809,24.333,93,11.14
823.29,0.006,-0.008,4.829,24.28,93,11.174
823.355,0.13,-0.007,4.845,24.21,93,11.228
823.419,0.139,-0.007,4.861,24.148,93,11.28
823.484,0.06,-0.005,4.865,23.394,93,11.334
823.548,0.05,-0.015,4.866,23.089,145,11.38
823.613,0.055,-0.014,4.872,22.866,145,11.432
823.677,0.053,-0.018,4.882,22.605,145,11.484
823.742,0.048,0.001,4.888,22.388,145,11.54
823.806,0.048,0.008,4.895,22.259,145,11.598
823.871,0.056,-0.005,4.893,22.17,145,11.656
823.935,-0.371,0.001,4.89,22.112,145,11.708
824,0.088,0.001,4.888,22.038,145,11.76
824.065,0.088,0.003,4.883,22.01,145,11.806
824.129,0.072,-0.002,4.874,22.202,145,11.85
824.194,0.067,-0.013,4.864,22.514,143,11.894
824.258,0.089,-0.011,4.856,22.592,143,11.932
824.323,0.065,-0.011,4.844,22.639,143,11.97
824.387,0.066,-0.003,4.831,22.664,143,12.002
824.452,0.058,-0.002,4.814,22.659,143,12.032
824.516,0.056,-0.004,4.799,22.645,143,12.054
824.581,-0.312,-0.009,4.789,22.625,143,12.074
824.645,0.067,-0.009,4.779,22.608,121,12.086
824.71,0.028,0,4.763,22.594,121,12.094
824.774,0.058,0.009,4.749,22.586,121,12.102
824.839,0.007,-0.012,4.731,22.575,121,12.104
824.903,0.02,-0.012,4.714,22.557,121,12.102
824.968,0.047,-0.008,4.691,22.535,121,12.092
825.032,0.035,-0.005,4.676,22.511,121,12.082
825.097,0.005,-0.001,4.661,22.49,121,12.07
825.161,0.012,0.001,4.648,22.477,121,12.054
825.226,-0.255,-0.001,4.634,22.469,121,12.038
825.29,-0.078,-0.015,4.614,22.459,121,12.02
825.355,0.056,0.001,4.594,22.447,121,11.998
825.419,0.047,-0.003,4.575,22.435,121,11.976
825.484,-0.026,-0.005,4.557,22.427,121,11.95
825.548,-0.003,-0.018,4.539,22.422,151,11.922
825.613,0.003,0,4.528,22.413,151,11.888
825.677,-0.004,-0.001,4.519,22.393,151,11.84
825.742,0,-0.006,4.512,22.42,151,11.782
825.806,-0.009,-0.011,4.507,22.412,151,11.72
825.871,-0.277,0.002,4.491,22.378,151,11.67
825.935,-0.145,-0.01,4.474,22.356,151,11.622
826,0.045,0,4.461,22.332,151,11.582
826.065,0.044,0.005,4.444,22.316,151,11.524
826.129,-0.015,-0.009,4.434,22.324,151,11.476
826.194,0.009,-0.016,4.426,22.342,158,11.44
826.258,0.012,-0.01,4.421,22.347,158,11.412
826.323,-0.003,-0.007,4.397,22.337,158,11.384
826.387,0,-0.005,4.381,22.326,158,11.358
826.452,-0.182,-0.001,4.366,22.312,158,11.344
826.516,-0.145,-0.015,4.355,22.296,158,11.33
826.581,0.095,-0.007,4.34,22.291,158,11.31
826.645,0.11,-0.012,4.335,22.285,158,11.29
826.71,0.069,0.006,4.327,22.282,158,11.276
826.774,0.056,-0.013,4.316,22.27,158,11.264
826.839,0.043,-0.004,4.3,22.265,120,11.252
826.903,0.057,-0.004,4.295,22.243,120,11.24
826.968,0.047,-0.001,4.283,22.215,120,11.23
827.032,0.047,-0.004,4.282,22.188,120,11.222
827.097,0.047,-0.005,4.272,22.146,120,11.214
827.161,-0.347,-0.003,4.257,22.066,107,11.208
827.226,0.106,0,4.25,21.955,107,11.202
827.29,0.131,0.006,4.247,21.888,107,11.198
827.355,0.112,-0.001,4.236,21.867,107,11.2
827.419,0.041,-0.011,4.227,21.807,107,11.188
827.484,0.024,-0.012,4.211,21.754,107,11.168
827.548,0.032,-0.017,4.2,21.691,107,11.158
827.613,0.048,-0.001,4.191,21.705,107,11.156
827.677,0.049,-0.009,4.194,21.765,107,11.154
827.742,0.01,-0.002,4.18,21.775,107,11.148
827.806,-0.012,-0.003,4.169,21.777,140,11.152
827.871,-0.329,-0.001,4.153,21.763,140,11.152
827.935,0.066,0.005,4.149,21.723,140,11.148
828,0.016,-0.004,4.136,21.713,140,11.148
828.065,0.044,-0.019,4.133,21.689,140,11.148
828.129,0.048,-0.01,4.132,21.66,140,11.148
828.194,0.011,-0.015,4.128,21.583,140,11.148
828.258,0.018,-0.006,4.114,21.519,140,11.148
828.323,0.007,-0.003,4.108,21.414,140,11.146
828.387,0,-0.009,4.096,21.64,140,11.148
828.452,-0.389,-0.004,4.092,21.817,140,11.146
828.516,0.039,0.003,4.086,21.627,140,11.148
828.581,0.066,0,4.077,21.589,140,11.152
828.645,0.029,-0.001,4.071,21.588,140,11.148
828.71,-0.009,-0.015,4.063,21.582,206,11.148
828.774,-0.008,-0.005,4.061,21.525,206,11.154
828.839,-0.033,-0.004,4.051,21.513,206,11.146
828.903,-0.041,-0.004,4.042,21.504,206,11.134
828.968,-0.065,-0.005,4.031,21.484,206,11.13
829.032,-0.095,-0.007,4.022,21.47,206,11.126
829.097,-0.139,0.002,4.014,21.462,206,11.126
829.161,-0.38,-0.012,4.003,21.383,206,11.122
829.226,0.008,-0.002,4,21.387,206,11.122
829.29,-0.041,-0.001,3.996,21.397,206,11.124
829.355,-0.059,-0.011,3.993,21.396,206,11.124
829.419,-0.055,-0.005,3.988,21.377,206,11.124
829.484,-0.057,0.003,3.982,21.353,206,11.126
829.548,-0.065,-0.01,3.98,21.333,206,11.126
829.613,-0.075,-0.001,3.971,21.317,206,11.126
829.677,-0.073,-0.013,3.959,21.266,206,11.126
829.742,-0.018,0.001,3.954,21.25,206,11.13
829.806,0.005,-0.012,3.946,21.231,206,11.126
829.871,-0.017,-0.003,3.944,21.221,206,11.126
829.935,-0.054,-0.009,3.936,21.207,206,11.126
830,-0.046,-0.015,3.934,21.19,206,11.126
830.065,-0.035,-0.002,3.929,21.161,206,11.13
830.129,-0.032,0.008,3.922,21.153,206,11.132
830.194,-0.04,-0.013,3.915,21.149,206,11.134
830.258,-0.046,-0.005,3.909,21.171,206,11.14
830.323,-0.409,-0.005,3.901,21.209,206,11.136
830.387,0.005,0,3.896,21.259,206,11.124
830.452,0.047,-0.013,3.89,21.308,206,11.118
830.516,0.068,-0.001,3.88,21.328,206,11.118
830.581,0.014,-0.004,3.87,21.335,206,11.118
830.645,0.029,-0.006,3.85,21.338,206,11.114
830.71,0.028,0,3.839,21.338,206,11.112
830.774,0.034,-0.005,3.824,21.338,206,11.114
830.839,0.038,-0.004,3.808,21.338,206,11.114
830.903,-0.362,-0.003,3.79,21.343,206,11.118
830.968,0.079,-0.002,3.776,21.348,94,11.12
831.032,0.11,-0.008,3.767,21.35,94,11.118
831.097,0.115,0,3.761,21.349,94,11.118
831.161,0.056,-0.01,3.752,21.347,94,11.12
831.226,0.057,-0.011,3.755,21.344,94,11.12
831.29,0.06,-0.013,3.76,21.34,94,11.12
831.355,0.052,0.004,3.761,21.348,94,11.122
831.419,0.043,-0.01,3.762,21.41,94,11.12
831.484,-0.336,-0.011,3.755,21.479,94,11.122
831.548,0.11,-0.013,3.746,21.576,93,11.122
831.613,0.135,0.004,3.735,21.708,93,11.122
831.677,0.128,-0.012,3.726,21.859,93,11.124
831.742,0.074,-0.015,3.718,22.019,93,11.124
831.806,0.088,-0.009,3.711,22.184,93,11.126
831.871,0.081,0.004,3.703,22.347,93,11.13
831.935,0.078,-0.004,3.695,22.51,93,11.132
832,0.073,0.001,3.686,22.659,93,11.126
832.065,0.114,-0.008,3.676,22.796,93,11.12
832.129,-0.379,0.002,3.669,22.916,93,11.114
832.194,0.109,0.009,3.664,23.022,96,11.112
832.258,0.122,0.005,3.662,23.109,96,11.114
832.323,0.095,0.014,3.663,23.178,96,11.112
832.387,0.038,-0.004,3.665,23.294,96,11.112
832.452,0.038,-0.018,3.668,23.331,96,11.112
832.516,0.026,-0.025,3.674,23.361,96,11.118
832.581,0.016,-0.019,3.681,23.386,96,11.118
832.645,-0.344,-0.004,3.691,23.397,96,11.114
832.71,-0.01,-0.015,3.703,23.405,96,11.118
832.774,0.095,-0.005,3.715,23.396,96,11.12
832.839,0.1,0.005,3.73,23.379,96,11.12
832.903,0.042,-0.011,3.745,23.359,96,11.12
832.968,0.059,-0.007,3.762,23.335,96,11.12
833.032,0.044,-0.005,3.78,23.309,96,11.12
833.097,0.023,0.005,3.797,23.279,96,11.122
833.161,-0.006,-0.016,3.814,23.241,96,11.122
833.226,-0.014,0.003,3.832,23.2,96,11.122
833.29,-0.455,-0.001,3.851,23.153,96,11.124
833.355,0.025,-0.005,0,23.1,96,11.126
833.419,0.029,-0.005,3.888,23.042,96,11.13
833.484,0.029,-0.002,3.905,22.984,96,11.136
833.548,-0.024,-0.005,3.924,22.933,96,11.132
833.613,-0.009,-0.016,3.943,22.871,97,11.132
833.677,-0.002,-0.008,3.964,22.819,97,11.14
833.742,-0.003,-0.004,3.982,22.782,97,11.152
833.806,-0.002,-0.002,4,22.747,97,11.17
833.871,0.043,0.001,4.016,22.704,97,11.196
833.935,-0.358,-0.01,4.046,22.66,97,11.228
834,0.085,-0.008,4.057,22.654,97,11.266
834.065,0.047,0,4.071,22.645,97,11.31
834.129,0.026,-0.008,4.085,22.621,97,11.358
834.194,0.035,-0.009,4.1,22.589,97,11.416
834.258,0.026,-0.014,4.115,22.556,97,11.476
834.323,0.024,-0.011,4.128,22.524,97,11.534
834.387,0.023,-0.013,4.143,22.494,97,11.588
834.452,-0.235,0.005,4.157,22.46,97,11.638
834.516,-0.011,-0.005,4.172,22.426,137,11.678
834.581,0.115,-0.009,4.187,22.393,137,11.722
834.645,0.119,0.006,4.211,22.315,137,11.764
834.71,0.076,-0.01,4.223,22.274,137,11.804
834.774,0.083,-0.005,4.236,22.234,137,11.842
834.839,0.078,-0.003,4.248,22.193,137,11.872
834.903,0.078,-0.004,4.258,22.148,137,11.9
834.968,-0.12,-0.001,4.264,22.103,137,11.93
835.032,-0.027,-0.008,4.272,22.061,137,11.952
835.097,0.147,-0.004,4.277,22.018,137,11.966
835.161,0.138,-0.003,4.281,21.975,137,11.974
835.226,0.078,-0.011,4.283,21.936,137,11.974
835.29,0.112,-0.012,4.296,21.896,137,11.966
835.355,0.109,-0.013,4.296,21.859,137,11.962
835.419,0.102,-0.009,4.296,21.821,137,11.952
835.484,0.092,-0.002,4.294,21.782,137,11.94
835.548,-0.045,0.005,4.291,21.743,137,11.928
835.613,-0.126,-0.01,4.287,21.706,137,11.918
835.677,0.156,-0.002,4.283,21.669,103,11.908
835.742,0.178,0.001,4.277,21.638,103,11.898
835.806,0.118,-0.003,4.272,21.607,103,11.878
835.871,0.092,-0.012,4.265,21.579,103,11.86
835.935,0.096,-0.002,4.258,21.552,103,11.84
836,0.091,-0.008,4.248,21.531,103,11.82
836.065,0.072,-0.004,4.241,21.512,103,11.796
836.129,0.093,0,4.231,21.498,103,11.77
836.194,-0.358,-0.001,4.221,21.489,103,11.742
836.258,0.145,-0.003,4.211,21.489,101,11.71
836.323,0.164,-0.007,4.201,21.499,101,11.674
836.387,0.118,-0.009,4.188,21.52,101,11.634
836.452,0.061,-0.013,4.177,21.564,101,11.606
836.516,0.059,-0.004,4.165,21.632,101,11.574
836.581,0.051,-0.002,4.155,21.729,101,11.546
836.645,0.035,-0.005,4.146,21.851,101,11.518
836.71,0.029,0,4.133,21.998,101,11.48
836.774,-0.391,-0.007,4.121,22.162,101,11.442
836.839,0.082,-0.003,4.109,22.337,97,11.408
836.903,0.105,-0.005,4.099,22.513,97,11.386
836.968,0.105,-0.002,4.09,22.69,97,11.364
837.032,0.036,-0.01,4.081,22.857,97,11.346
837.097,0.032,-0.003,4.075,23.008,97,11.33
837.161,0.027,-0.002,4.07,23.143,97,11.318
837.226,0.019,-0.004,4.067,23.26,97,11.302
837.29,0.009,-0.003,4.07,23.361,97,11.29
837.355,0.037,-0.002,4.076,23.443,97,11.276
837.419,-0.398,-0.004,4.084,23.509,97,11.264
837.484,0.078,-0.019,4.094,23.557,97,11.254
837.548,0.1,-0.006,4.104,23.591,97,11.244
837.613,0.064,0.007,4.116,23.612,97,11.24
837.677,0.014,-0.01,4.132,23.63,97,11.232
837.742,0.015,-0.003,4.151,23.637,100,11.22
837.806,0.014,-0.005,4.172,23.632,100,11.21
837.871,0.009,-0.007,4.195,23.62,100,11.206
837.935,0,0.007,4.217,23.6,100,11.2
838,-0.246,0,4.242,23.57,100,11.198
838.065,-0.094,-0.008,4.267,23.536,100,11.184
838.129,0.066,-0.011,4.292,23.497,100,11.168
838.194,0.083,-0.001,4.316,23.449,100,11.184
838.258,0.037,-0.013,4.338,23.401,100,11.168
838.323,0.032,-0.014,4.358,23.349,100,11.144
838.387,0.031,-0.006,4.378,23.291,100,11.144
838.452,0.029,-0.006,4.395,23.23,100,11.144
838.516,0.013,-0.005,4.413,23.166,100,11.142
838.581,-0.036,0.001,4.428,23.1,132,11.136
838.645,-0.287,-0.009,4.441,23.036,132,11.136
838.71,0.077,-0.004,4.452,22.971,132,11.14
838.774,0.1,-0.003,4.462,22.909,132,11.14
838.839,0.05,0.007,4.471,22.848,132,11.14
838.903,0.04,-0.004,4.475,22.788,132,11.14
838.968,0.037,-0.01,4.476,22.731,132,11.142
839.032,0.047,0.001,4.476,22.679,132,11.144
839.097,0.054,-0.018,4.476,22.626,132,11.144
839.161,0.114,0.001,4.476,22.581,132,11.144
839.226,-0.311,0,4.473,22.533,132,11.144
839.29,0.128,-0.008,4.468,22.487,132,11.142
839.355,0.129,-0.004,4.465,22.441,132,11.142
839.419,0.078,0.005,4.459,22.404,132,11.146
839.484,0.072,-0.013,4.452,22.381,132,11.146
839.548,0.076,-0.007,4.442,22.342,132,11.152
839.613,0.068,-0.003,4.432,22.304,132,11.146
839.677,0.066,0.004,4.422,22.287,132,11.134
839.742,0.076,0.009,4.41,22.272,132,11.13
839.806,-0.359,-0.001,4.397,22.259,132,11.126
839.871,0.103,-0.006,4.385,22.236,101,0
839.935,0.111,0.001,4.372,22.212,101,0
840,0.078,-0.013,4.359,22.19,101,11.126
840.065,0.038,-0.02,4.346,22.165,101,11.13
840.129,0.014,-0.012,4.319,22.107,101,11.13
840.194,0.014,-0.012,4.319,22.107,101,11.126
840.258,0,-0.002,4.277,22.025,101,11.126
840.323,-0.031,-0.007,4.262,21.996,101,11.126
840.387,0.008,-0.006,4.247,21.978,101,11.13
840.452,0.009,0,4.233,21.965,145,11.132
840.516,-0.05,0.001,4.217,21.963,145,11.132
840.581,-0.058,-0.005,4.205,21.971,145,11.134
840.645,-0.059,0,4.19,21.971,145,11.136
840.71,-0.074,-0.007,4.177,21.962,145,11.14
840.774,-0.093,0.001,4.163,21.943,145,11.136
840.839,-0.05,0.009,4.15,21.941,145,11.136
840.903,-0.463,-0.009,4.138,21.904,145,11.136
840.968,-0.012,-0.015,4.125,21.867,145,11.14
841.032,0,0.001,4.114,21.841,145,11.136
841.097,-0.03,-0.006,4.101,21.812,97,11.126
841.161,-0.037,-0.015,4.09,21.789,97,11.122
841.226,-0.033,-0.013,4.078,21.767,97,11.122
841.29,-0.031,-0.009,4.067,21.744,97,11.126
841.355,-0.025,-0.001,4.057,21.722,97,11.124
841.419,-0.046,-0.007,4.046,21.701,97,11.124
841.484,-0.1,0.005,4.034,21.68,97,11.122
841.548,-0.319,-0.014,4.024,21.66,97,11.126
841.613,0.037,-0.002,4.014,21.64,97,11.132
841.677,0.043,-0.002,4.004,21.623,97,11.132
841.742,-0.002,-0.009,3.994,21.609,97,11.126
841.806,-0.018,-0.012,3.984,21.6,94,11.126
841.871,-0.003,-0.001,3.972,21.607,94,11.13
841.935,-0.005,0.002,3.961,21.611,94,11.132
842,-0.002,-0.008,3.95,21.611,94,11.132
842.065,-0.025,0.001,3.942,21.614,94,11.134
842.129,0.02,-0.001,3.926,21.595,94,11.136
842.194,0.081,-0.007,3.917,21.582,94,11.14
842.258,0.057,-0.004,3.91,21.569,94,11.14
842.323,0.032,0.001,3.901,21.554,94,11.14
842.387,-0.01,-0.022,3.894,21.539,94,11.136
842.452,-0.01,-0.001,3.885,21.528,91,11.126
842.516,-0.032,-0.002,3.87,21.507,91,11.124
842.581,-0.032,-0.002,3.87,21.507,91,11.124
842.645,-0.035,0,3.853,21.498,91,11.122
842.71,-0.41,-0.005,3.845,21.481,91,11.12
842.774,0.005,-0.003,3.838,21.467,91,11.12
842.839,0.028,-0.003,3.83,21.453,91,11.126
842.903,0.033,-0.002,3.824,21.44,91,11.126
842.968,-0.006,-0.007,3.817,21.425,91,11.126
843.032,-0.001,-0.005,3.809,21.41,89,11.126
843.097,-0.003,-0.018,3.802,21.39,89,11.13
843.161,-0.008,-0.004,3.796,21.35,89,11.126
843.226,-0.027,-0.004,3.785,21.329,89,11.13
843.29,-0.024,0.007,3.777,21.311,89,11.13
843.355,-0.341,-0.017,3.77,21.295,89,11.13
843.419,0.038,-0.005,3.762,21.28,89,11.13
843.484,0.052,0,3.757,21.266,89,11.132
843.548,0.017,-0.007,3.752,21.248,89,11.134
843.613,0.005,-0.006,3.747,21.231,88,11.136
843.677,0.002,-0.008,3.744,21.216,88,11.14
843.742,-0.002,-0.009,3.74,21.201,88,11.13
843.806,0.003,-0.01,3.735,21.186,88,11.124
843.871,-0.003,-0.001,3.73,21.17,88,11.12
843.935,0.033,-0.005,3.722,21.139,88,11.12
844,0.06,-0.005,3.717,21.126,88,11.118
844.065,0.066,-0.004,3.713,21.11,88,11.118
844.129,0.028,-0.005,3.708,21.096,88,11.118
844.194,0.025,-0.013,3.705,21.083,88,11.12
844.258,0.024,-0.011,3.7,21.07,88,11.126
844.323,0.012,0.004,3.693,21.05,88,11.126
844.387,0.012,0.004,3.693,21.05,88,11.126
844.452,0,-0.008,3.684,21.033,88,11.124
844.516,-0.36,-0.004,3.683,21.023,88,11.124
844.581,0.067,-0.004,3.678,21.013,91,11.126
844.645,0.079,-0.003,3.675,21,91,11.126
844.71,0.045,-0.001,3.673,20.987,91,11.126
844.774,0.007,-0.009,3.67,20.973,91,11.124
844.839,0.003,-0.009,3.664,20.948,91,11.13
844.903,0.003,-0.009,3.664,20.948,91,11.13
844.968,-0.005,-0.002,3.659,20.928,91,11.134
845.032,-0.002,0.004,3.657,20.919,71,11.13
845.097,-0.384,0.003,3.654,20.908,71,11.122
845.161,0.032,0,3.65,20.898,71,11.118
845.226,0.047,-0.008,3.645,20.891,71,11.118
845.29,0.029,-0.005,3.643,20.881,71,11.118
845.355,-0.009,-0.023,3.639,20.874,71,11.114
845.419,-0.002,-0.015,3.637,20.86,71,11.114
845.484,-0.002,-0.008,3.633,20.844,71,11.118
845.548,-0.007,-0.005,3.63,20.83,71,11.118
845.613,-0.016,-0.005,3.626,20.816,71,11.12
845.677,0.006,0.003,3.623,20.801,95,11.124
845.742,-0.378,0,0,20.788,95,11.124
845.806,0.05,-0.011,3.616,20.774,95,11.126
845.871,0.059,-0.009,3.613,20.761,95,11.126
845.935,0.036,-0.001,3.61,20.747,95,11.13
846,0.005,-0.006,3.607,20.735,95,11.13
846.065,0.025,-0.004,3.605,20.722,95,11.13
846.129,0.027,-0.004,3.599,20.709,95,11.132
846.194,0.028,-0.006,3.588,20.669,95,11.142
846.258,0.028,-0.006,3.588,20.669,95,11.168
846.323,0.043,-0.004,3.583,20.622,95,11.21
846.387,0.084,-0.012,3.578,20.601,95,11.258
846.452,0.105,0.001,3.573,20.579,95,11.302
846.516,0.093,-0.01,3.567,20.555,95,11.34
846.581,0.049,-0.009,3.563,20.535,95,11.38
846.645,0.065,-0.007,3.561,20.539,95,11.434
846.71,0.064,-0.005,3.558,20.537,95,11.49
846.774,0.053,-0.005,3.555,20.5,95,11.544
846.839,0.05,-0.012,3.545,20.421,95,11.588
846.903,-0.331,-0.001,3.542,20.404,95,11.628
846.968,0.088,0.002,3.539,20.403,90,11.662
847.032,0.124,0.007,3.536,20.413,90,11.696
847.097,0.105,-0.003,0,20.448,90,11.728
847.161,0.067,-0.011,3.524,20.49,90,11.752
847.226,0.077,-0.01,3.515,20.51,90,11.77
847.29,0.102,-0.004,3.506,20.519,90,11.782
847.355,0.099,0.005,3.5,20.527,90,11.786
847.419,0.056,-0.003,3.499,20.47,90,11.786
847.484,-0.039,0.002,3.495,20.416,90,11.786
847.548,-0.199,-0.009,3.49,20.368,90,11.784
847.613,0.089,-0.009,3.482,20.319,89,11.782
847.677,0.086,0.001,3.479,20.261,89,11.776
847.742,0.012,-0.005,3.476,20.206,89,11.766
847.806,0.001,-0.011,3.474,20.144,89,11.752
847.871,-0.004,-0.009,3.469,20.071,89,11.734
847.935,-0.027,-0.005,3.464,20.015,89,11.712
848,-0.029,-0.005,3.459,19.979,89,11.694
848.065,-0.043,-0.008,3.456,19.943,89,11.67
848.129,-0.016,0.002,3.455,19.876,89,11.572
848.194,-0.471,-0.01,3.453,19.755,89,11.544
848.258,0.001,-0.003,3.448,19.666,89,11.572
848.323,0.014,-0.008,3.442,19.61,89,11.544
848.387,-0.02,0.001,3.432,19.589,89,11.434
848.452,-0.047,-0.01,3.427,19.608,124,11.41
848.516,-0.048,-0.003,3.424,19.604,124,11.388
848.581,-0.058,-0.005,3.422,19.513,124,11.366
848.645,-0.065,-0.004,3.417,19.456,124,11.346
848.71,-0.069,-0.012,3.412,19.441,124,11.328
848.774,-0.032,0.007,3.411,19.432,124,11.314
848.839,-0.438,0,3.408,19.431,124,11.298
848.903,0.045,0,3.4,19.4,124,11.288
848.968,-0.016,-0.011,3.397,19.385,83,11.276
849.032,-0.013,-0.007,3.392,19.36,83,11.252
849.097,-0.01,-0.004,3.388,19.334,83,11.224
849.161,-0.015,-0.011,3.384,19.312,83,11.208
849.226,0,-0.001,3.377,19.245,83,11.192
849.29,0,-0.001,3.377,19.245,83,11.184
849.355,-0.007,-0.008,3.364,19.183,83,11.176
849.419,0.075,-0.007,3.362,19.197,83,11.174
849.484,0.081,0.001,3.359,19.196,83,11.174
849.548,0.035,-0.003,3.356,19.182,83,11.174
849.613,0.054,0.001,3.352,19.168,83,11.17
849.677,0.068,-0.015,3.347,19.156,83,11.166
849.742,0.06,-0.013,3.345,19.146,83,11.162
849.806,0.069,-0.005,3.341,19.14,83,11.152
849.871,0.063,-0.01,3.336,19.13,83,11.144
849.935,-0.315,-0.003,3.334,19.125,83,11.142
850,0.12,0.002,3.332,19.123,83,11.144
850.065,0.155,-0.007,3.33,19.119,83,11.144
850.129,0.166,-0.01,3.326,19.124,83,11.144
850.194,0.098,-0.005,3.324,19.135,83,11.148
850.258,0.11,-0.008,3.32,19.146,83,11.146
850.323,0.11,-0.004,3.317,19.156,83,11.146
850.387,0.099,-0.011,3.31,19.172,83,11.14
850.452,0.097,-0.004,3.306,19.172,83,11.13
850.516,0.092,-0.003,3.302,19.17,83,11.124
850.581,0.107,-0.002,3.301,19.167,83,11.12
850.645,-0.312,-0.001,3.299,19.162,83,11.12
850.71,0.168,0.003,3.297,19.156,80,11.118
850.774,0.185,0.001,3.294,19.15,80,11.118
850.839,0.125,-0.007,3.29,19.145,80,11.118
850.903,0.087,-0.013,3.287,19.14,80,11.114
850.968,0.083,-0.015,3.285,19.133,80,11.114
851.032,0.075,-0.004,3.282,19.128,80,11.118
851.097,0.076,-0.004,3.28,19.12,80,11.118
851.161,0.079,-0.004,3.274,19.106,80,11.12
851.226,0.054,-0.008,3.272,19.099,80,11.122
851.29,0.043,-0.003,3.268,19.093,80,11.126
851.355,-0.3,-0.002,3.267,19.085,80,11.126
851.419,0.024,-0.008,3.263,19.079,72,11.122
851.484,0.104,0.002,3.26,19.071,72,11.12
851.548,0.119,-0.004,3.258,19.066,72,11.118
851.613,0.055,-0.012,3.255,19.061,72,11.122
851.677,0.037,-0.008,3.252,19.039,72,11.13
851.742,0.039,0,3.252,19.033,72,11.126
851.806,0.05,0.004,3.252,19.021,72,11.13
851.871,0.044,-0.005,3.25,19.003,72,11.12
851.935,0.029,-0.013,3.247,18.985,72,11.114
852,0.009,-0.002,3.243,18.972,72,11.112
852.065,-0.15,-0.01,3.239,18.963,72,11.112
852.129,-0.15,-0.01,3.239,18.963,72,11.112
852.194,0.077,-0.006,3.238,18.95,72,11.114
852.258,0.027,-0.005,3.237,18.944,72,11.114
852.323,0.015,-0.017,3.234,18.939,91,11.118
852.387,0.019,-0.007,3.232,18.934,91,11.118
852.452,0.001,-0.008,3.23,18.929,91,11.118
852.516,-0.007,-0.004,3.229,18.924,91,11.12
852.581,-0.005,-0.002,3.227,18.916,91,11.12
852.645,-0.011,-0.005,3.225,18.911,91,11.12
852.71,-0.019,-0.002,3.219,18.9,91,11.12
852.774,-0.02,-0.01,3.218,18.893,91,11.12
852.839,0.041,-0.004,3.217,18.895,91,11.124
852.903,0.045,-0.003,3.214,18.911,91,11.126
852.968,0.002,-0.01,3.212,18.926,91,11.124
853.032,0,-0.012,3.208,18.94,85,11.122
853.097,-0.002,-0.008,3.205,18.942,85,11.122
